Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr19	69983	1.59139339975	0
chr19	226775	1.12164296763	0.249517753934
chr19	228780	0.683175028498	0.251766648084
chr19	254303	0.683175028498	0.269203324336
chr19	254446	0.528375761095	0.269301018365
chr19	254447	0.225385419545	0.269301546741
chr19	254898	0.225385419545	0.269403195565
chr19	257351	0.225385419545	0.269956065999
chr19	257506	0.125873418134	0.269991000739
chr19	257863	0.125873418134	0.27003593755
chr19	266543	0.136409915937	0.271128518819
chr19	266887	0.250612410626	0.27117544383
chr19	267038	0.612347648823	0.271213286304
chr19	279644	2.6850519053	0.278932540765
chr19	280298	3.15058388764	0.280688564711
chr19	288737	5.43568241511	0.307276342139
chr19	293827	6.46131973827	0.334943965632
chr19	295846	6.46131973827	0.347989370184
chr19	295918	2.07401031465	0.348454585205
chr19	296457	2.07401031465	0.349572476764
chr19	296720	2.07401031465	0.350117941477
chr19	296901	1.0309036431	0.350493337344
chr19	297024	1.0309036431	0.350620138492
chr19	302803	1.0309036431	0.356577730646
chr19	303224	1.00341259397	0.357011741079
chr19	303225	1.00341259397	0.357012744492
chr19	311127	1.00341259397	0.364941710809
chr19	311137	0.906610028747	0.364951744935
chr19	311211	0.906610028747	0.365018834078
chr19	311707	0.906610028747	0.365468512652
chr19	311786	0.528552014619	0.365540134844
chr19	311824	0.505809696212	0.365560219821
chr19	311931	0.505809696212	0.365614341458
chr19	313250	0.505809696212	0.366281504447
chr19	313301	0.46796061015	0.366307300742
chr19	313632	0.46796061015	0.366462195704
chr19	317497	0.46796061015	0.368270863462
chr19	317518	0.467064597325	0.368280690635
chr19	317701	0.467064597325	0.368366163456
chr19	318585	0.467064597325	0.36877904856
chr19	318623	0.453415296263	0.368796797015
chr19	318777	0.431084294106	0.368866622971
chr19	318782	0.365683527741	0.368868778392
chr19	318821	0.365683527741	0.36888304005
chr19	324927	0.365683527741	0.37111590367
chr19	325092	0.255506514426	0.371176241452
chr19	325265	0.255506514426	0.371220444079
chr19	337640	0.255506514426	0.374382337195
chr19	337800	0.51109429916	0.374423218237
chr19	337805	0.765437406831	0.374425773709
chr19	337911	0.765437406831	0.374506910074
chr19	349006	0.873795858005	0.382999438103
chr19	356002	4.76443681668	0.389112513925
chr19	359777	6.03385829722	0.407098262908
chr19	361711	6.86497313405	0.418767744855
chr19	363689	18.24618439	0.432346661714
chr19	364625	18.24618439	0.449425090303
chr19	364694	17.1944253095	0.450684077026
chr19	364740	14.4549452086	0.451475020591
chr19	364843	2.71201258241	0.452963879947
chr19	364916	2.71201258241	0.453161856866
chr19	367978	6.08274642069	0.461466039393
chr19	368029	10.6910948991	0.46177625946
chr19	372874	22.8976455116	0.513574614246
chr19	373672	37.3988145514	0.531846935365
chr19	376121	37.3988145514	0.623436632201
chr19	376262	36.8833247293	0.628709865053
chr19	376381	7.44603260563	0.633098980696
chr19	376531	7.44603260563	0.634215885586
chr19	376688	7.44603260563	0.635384912706
chr19	376715	2.79425180271	0.635585955586
chr19	377365	2.79425180271	0.637402219258
chr19	383194	6.28410426057	0.653689913016
chr19	384026	6.63838624563	0.658918287761
chr19	384516	7.21360300136	0.662171097021
chr19	387196	7.21360300136	0.681503553065
chr19	387197	5.97252925346	0.681510766668
chr19	387209	5.97252925346	0.681582437019
chr19	389872	5.97252925346	0.697487282421
chr19	389940	4.21417652926	0.69789341441
