Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr16	10287	8.31579261598	0
chr16	17253	5.85723287255	0.0579278113629
chr16	28645	5.85723287255	0.124653408247
chr16	29582	6.18898692701	0.130141635449
chr16	29585	6.20039876563	0.130160202409
chr16	29810	6.20039876563	0.131555292132
chr16	30208	6.20039876563	0.13402305084
chr16	30397	9.72279908206	0.135194926207
chr16	31047	9.72279908206	0.14151474561
chr16	33801	1.42256282172	0.168291334282
chr16	33806	0.590471007496	0.168298447097
chr16	42785	0.590471007496	0.173600286273
chr16	42842	0.734249760298	0.17363394312
chr16	42900	4.49877275301	0.173676529606
chr16	42996	4.49877275301	0.174108411791
chr16	44918	0.876289684497	0.182755053022
chr16	55443	0.803067688481	0.191978001951
chr16	69020	0.73921157561	0.202881251958
chr16	74472	0.73921157561	0.206911433468
chr16	74638	0.847610708615	0.20703414259
chr16	74695	0.847610708615	0.2070824564
chr16	79025	0.847610708614	0.210752610768
chr16	79223	4.163593835	0.210920437689
chr16	79277	4.163593835	0.211145271756
chr16	83946	2.328671537	0.230585091371
chr16	86142	1.47240874121	0.235698854067
chr16	89602	1.24115166402	0.240793388311
chr16	90936	0.719406932949	0.242449084631
chr16	139971	0.720159117759	0.277725203588
chr16	139983	0.951715462351	0.277733845498
chr16	140152	0.952044139505	0.277894685411
chr16	140250	7.64931282519	0.277987985736
chr16	140968	10.2357036589	0.283480192345
chr16	144845	10.2357036589	0.32316401543
chr16	144900	2.2158222836	0.323726979132
chr16	144964	2.2158222836	0.323868791758
chr16	144980	2.19271916801	0.323904244914
chr16	145020	2.05553806201	0.323991953681
chr16	145391	1.27777831371	0.324754558302
chr16	145570	1.27777831371	0.32498328062
chr16	159764	1.27777831371	0.343120066005
chr16	159816	1.55698548416	0.343186510477
chr16	160068	1.89916425209	0.343578870819
chr16	160764	4.96298628278	0.344900689139
chr16	160827	4.96298628278	0.345213357275
chr16	163844	2.04612831907	0.36018668689
chr16	165340	0.772576863896	0.363247694855
chr16	183940	0.772576863896	0.377617624524
chr16	184009	0.776914015282	0.377670932327
chr16	184047	0.776914015282	0.37770045506
chr16	184052	0.861875891463	0.37770433963
chr16	184632	1.35244127661	0.378204227647
chr16	184638	1.40005648439	0.378212342295
chr16	184710	1.40005648439	0.378313146361
chr16	184887	2.51332939405	0.378560956359
chr16	185469	2.51332939405	0.380023714067
chr16	187453	2.35465211774	0.385010159584
chr16	188785	0.737419960377	0.388146556205
chr16	200442	0.73669819168	0.396742660683
chr16	200653	0.729797663793	0.396898104002
chr16	200787	0.682795277507	0.396995896889
chr16	201219	0.672965526984	0.397290864449
chr16	201332	0.631083932776	0.397366909553
chr16	201800	0.554429308106	0.397662256834
chr16	201812	0.506573786877	0.397668909985
chr16	204395	0.393577841386	0.398977390077
chr16	204427	0.393472450467	0.398989984568
chr16	204550	0.269212826303	0.399038381679
chr16	206582	0.269179123148	0.399585422142
chr16	207156	0.268187012265	0.399739930959
chr16	207211	0.148912793492	0.399754681245
chr16	232679	0.148912793492	0.403547192269
chr16	232772	0.392011776486	0.403561041159
chr16	232882	0.392011776486	0.403604162454
chr16	235169	0.392011776486	0.404500693387
chr16	235299	0.471667838244	0.404551654918
chr16	235313	3.14166946663	0.404558258268
chr16	235325	3.14166946663	0.404595958302
chr16	245596	1.6498238351	0.436864045393
chr16	245601	1.51113602929	0.436872294512
chr16	245714	1.01214575118	0.437043052884
chr16	251941	0.706614634092	0.443345684476
chr16	265436	0.706614634091	0.452881448963
chr16	265557	4.49725359749	0.452966949334
chr16	265791	4.49725359749	0.454019306676
chr16	269955	4.49725359749	0.472745870656
chr16	270036	5.16591614222	0.473110148197
chr16	270037	5.16591614221	0.473115314113
chr16	270064	6.9825159382	0.473254793849
chr16	270105	7.00581749587	0.473541077003
chr16	270108	8.01256438242	0.473562094455
chr16	270147	8.01256438242	0.473874584466
chr16	271992	8.01256438242	0.488657765752
chr16	272345	8.01284063099	0.491486200979
chr16	272346	8.01949533826	0.491494213819
chr16	272787	8.01949533826	0.495030811264
chr16	284731	4.73106024519	0.590815663584
chr16	284805	4.72339993618	0.591165762042
chr16	286659	3.15333319118	0.599922945524
chr16	286690	2.77294848245	0.600020698852
chr16	286692	2.76673908604	0.600026244749
chr16	286715	2.16221089321	0.600089879748
chr16	286853	1.91026446061	0.600388264852
chr16	286890	1.68649194434	0.600458944637
chr16	286915	1.12624151611	0.600501106935
chr16	306688	0.892405130471	0.622770280433
chr16	323416	0.877635502736	0.637698433456
chr16	333038	0.666698924887	0.646143042263
chr16	342091	0.666698924887	0.65217866763
chr16	342099	0.935787148759	0.652184001222
chr16	342101	1.46438958447	0.652185872796
chr16	342129	1.46438958447	0.652226875704
chr16	342136	1.73899626673	0.652237126431
chr16	342165	1.73899626673	0.652287557323
chr16	344905	0.545864463144	0.657052407094
chr16	351063	0.545864463144	0.660413840458
chr16	351095	0.84746446925	0.660431308121
chr16	351154	0.84746446925	0.660481308525
