Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr7	15063	2.17869517143	0
chr7	27915	2.17869517143	0.0280005903432
chr7	30718	2.0934572775	0.0341074729087
chr7	30938	2.05314598316	0.0345680335098
chr7	31262	2.05314598316	0.0352332528083
chr7	31289	2.05314598316	0.0352886877499
chr7	31429	1.99333864608	0.0355761281875
chr7	31438	0.919003399452	0.0355940682353
chr7	31532	0.919003399452	0.0356804545549
chr7	40844	0.919003399452	0.0442382142106
chr7	40851	0.85481037804	0.0442446472344
chr7	40942	0.85481037804	0.0443224349788
chr7	46957	1.26776038294	0.0494641194027
chr7	47152	1.43065579215	0.0497113326773
chr7	49470	1.5946395493	0.0530275928035
chr7	49671	5.43794710278	0.053348115353
chr7	50822	5.43794710278	0.0596071924683
chr7	50943	5.1542064869	0.0602651840677
chr7	51021	5.1542064869	0.0606672121737
chr7	51084	4.68141277183	0.0609919271824
chr7	51134	4.41086730381	0.0612259978209
chr7	51331	4.41086730381	0.0620949386798
chr7	51731	3.94835524228	0.0638592856013
chr7	51746	3.33100568562	0.06391851093
chr7	51841	2.87064781735	0.0642349564701
chr7	52074	2.87064781735	0.0649038174115
chr7	52527	2.87064781735	0.0662042208728
chr7	52613	2.75227023772	0.0664510965851
chr7	52808	1.60147092238	0.0669877892814
chr7	53020	1.60147092238	0.067327301117
chr7	54410	1.60147092238	0.0695533456991
chr7	54493	1.07022682433	0.0696862677856
chr7	54514	1.07022682433	0.0697087425489
chr7	56754	1.28383560264	0.0721060506355
chr7	56782	1.33474449705	0.0721419980323
chr7	58847	1.41781397167	0.0748982454187
chr7	58900	6.91722760551	0.0749733895592
chr7	60380	6.91722760551	0.0852108864154
chr7	60391	4.08489863973	0.085286975919
chr7	60436	2.91829041499	0.0854707963578
chr7	60653	2.91829041499	0.0861040653779
chr7	60727	2.64595127289	0.0863200188686
chr7	60739	1.50015821847	0.0863517702839
chr7	60944	1.50015821847	0.0866593027187
chr7	61613	1.50015821847	0.0876629085668
chr7	61646	1.47658987478	0.087712413788
chr7	61652	1.47521508314	0.0877212733273
chr7	61656	1.4741223835	0.0877271741876
chr7	61667	1.4741223835	0.0877433895338
chr7	65253	3.9864658206	0.0930295924011
chr7	65282	4.11050706172	0.0931451999099
chr7	66893	4.21659383938	0.0997672267863
chr7	66927	4.45900600425	0.0999105909768
chr7	68644	4.45900600425	0.107566704286
chr7	68727	4.24883691636	0.107936801784
chr7	68733	3.92999242471	0.107962294806
chr7	68740	3.59521028429	0.107989804753
chr7	68889	3.59521028429	0.108525491085
chr7	68957	3.59521028429	0.108769965385
chr7	68960	3.53039728723	0.108780751015
chr7	69632	3.15425017258	0.111153177992
chr7	70010	2.4218014442	0.112345484558
chr7	70244	2.4218014442	0.112912186096
chr7	75019	2.42797204722	0.124476287992
chr7	75023	2.51859707605	0.12448599988
chr7	75025	2.64566858522	0.124491037074
chr7	75070	2.99072696023	0.12461009216
chr7	75188	6.43612206732	0.124962997942
chr7	75637	7.30854455321	0.12785281675
chr7	75719	8.64061718103	0.128452117403
chr7	75721	13.9733969757	0.128469398638
chr7	75771	14.1221205322	0.129168068486
chr7	75811	14.4952898207	0.129732953308
chr7	75834	19.4949630184	0.130066344974
chr7	77111	19.4949630184	0.154961412748
chr7	77156	17.2123447697	0.155838686084
chr7	77160	17.2123447697	0.155907535463
chr7	77324	13.6793282528	0.158730360005
chr7	77329	13.651225544	0.158798756647
chr7	77386	12.8996691901	0.159576876503
chr7	77407	10.5212120361	0.159847769556
chr7	77508	10.5212120361	0.160910411971
chr7	78553	10.5212120361	0.171905078549
chr7	78670	8.15916639139	0.173136060357
chr7	78729	2.93108932657	0.173617451174
chr7	78818	2.93108932657	0.173878318124
chr7	83147	2.93108932657	0.186567003819
chr7	83176	1.8020037542	0.186652005409
chr7	83184	1.53743388984	0.186666421439
chr7	83229	1.12148922165	0.186735605965
chr7	83369	1.12148922165	0.186892614456
chr7	84249	1.12148922165	0.187879524971
chr7	84355	1.11823831326	0.187998402828
chr7	84416	1.11823831326	0.188066615365
chr7	85260	1.11823831326	0.189010408502
chr7	85441	1.10058036934	0.189212809636
chr7	85552	1.10058036934	0.189334974057
chr7	86332	1.10058036934	0.190193426745
chr7	86884	0.870553489308	0.190800947109
chr7	86924	0.857439608707	0.190835769249
chr7	87034	0.608018261726	0.190930087606
chr7	87128	0.608018261726	0.190987241322
chr7	92828	0.714388595824	0.194452945414
chr7	93005	0.718041128604	0.194579392196
chr7	93041	0.718290075732	0.194605241676
chr7	93115	0.731563763995	0.194658395142
chr7	93118	0.74005281392	0.194660589833
chr7	99088	1.97812897593	0.199078705132
chr7	99089	2.66725078257	0.199080683261
chr7	101344	2.66725078257	0.205095333776
chr7	101570	1.57762690933	0.205698132453
chr7	101601	1.57762690933	0.205747038887
chr7	105401	1.59008870193	0.211742021142
chr7	105411	1.59009039882	0.211757922029
chr7	105892	1.707544841	0.212522755511
chr7	105896	1.76188076384	0.212529585691
chr7	106867	3.18749235825	0.214240371912
chr7	106958	3.35977856928	0.214530433717
chr7	111567	3.35977856928	0.230015653143
chr7	111815	1.7722958453	0.230848878228
chr7	112150	1.63143884391	0.231442597336
chr7	112172	1.63143884391	0.231478488991
chr7	114434	2.26961589236	0.235168803656
chr7	114435	3.52948396532	0.235171073272
chr7	114688	5.46226538899	0.236064032715
chr7	114823	6.51808093905	0.236801438542
chr7	116065	6.51808093906	0.244896895069
chr7	116077	4.78098696427	0.24497511204
chr7	116155	4.78098696427	0.245348029023
chr7	120480	4.78098696427	0.266025797644
chr7	120572	4.76051308957	0.266465648444
chr7	120577	4.733487473	0.26648945101
chr7	120629	4.733487473	0.266735592358
chr7	123955	17.71914315	0.282479171693
chr7	124404	18.0238489438	0.290435066968
chr7	124445	20.7215288423	0.291174044775
chr7	124586	21.9960531741	0.294095780341
chr7	126237	21.9960531741	0.330411264132
chr7	126275	13.8221095101	0.331247114152
chr7	126282	9.92906012844	0.331343868919
chr7	126285	9.92906012844	0.331373656099
chr7	126286	6.68250031605	0.331383585159
chr7	126341	6.68199281089	0.331751122677
chr7	126387	6.33015588635	0.332058494346
chr7	126414	3.62057092933	0.332229408555
chr7	126647	2.17976836709	0.333073001582
chr7	126653	2.17976836709	0.333086080192
chr7	128125	2.17976836709	0.336294699228
chr7	128205	1.7415954521	0.336469080697
chr7	128289	1.7415954521	0.336615374715
chr7	132355	2.25983440549	0.343696701824
chr7	140135	2.25983440549	0.361278213498
chr7	140167	1.89757038033	0.361350528199
chr7	140500	1.5302287353	0.361982419136
chr7	140580	1.5302287353	0.362104837435
chr7	140646	1.5302287353	0.362205832531
chr7	140706	1.35919701744	0.362297646256
chr7	140805	0.408786738544	0.36243220676
chr7	140980	0.408786738544	0.36250374444
chr7	151098	0.484081392886	0.36663984866
chr7	151719	0.484988981558	0.366940463205
chr7	151828	0.675183046469	0.366993327004
chr7	151924	1.2477044261	0.367058144577
chr7	151929	1.36076231102	0.367064383099
chr7	151979	1.48567391051	0.367132421214
chr7	152017	1.71097228521	0.367188876823
chr7	153151	2.20087087437	0.369129119394
chr7	159240	2.20095013472	0.382530222148
chr7	159481	2.87822063636	0.383060651131
chr7	159513	4.41038887009	0.383152754191
chr7	159524	5.52029206405	0.383201268469
chr7	159681	6.23903246828	0.384067954323
chr7	159779	6.27298457333	0.384679379505
chr7	159796	6.28465057266	0.384786020242
chr7	159797	6.29396633	0.384792304893
chr7	159798	9.32537523315	0.384798598859
chr7	160493	9.32537523316	0.391279734646
chr7	160587	5.66946437154	0.392156319918
chr7	160726	2.88557472816	0.392944375466
chr7	160739	2.88557472816	0.392981887937
chr7	161576	2.88557472816	0.395397113985
chr7	161634	2.14366184753	0.395564477319
chr7	161643	2.14366184754	0.395583770276
chr7	162190	2.14366184754	0.396756353306
chr7	162284	1.68864709435	0.39695785752
chr7	162343	1.68864709435	0.397057487699
chr7	167141	1.8070555116	0.405159616457
chr7	167177	2.10790457407	0.405224670456
chr7	173314	2.10790457407	0.418160880827
chr7	173320	1.84441919795	0.418173528254
chr7	173372	1.81217404182	0.418269438052
chr7	173426	1.72012944924	0.418367295451
chr7	173598	0.965629854908	0.418663157716
chr7	173628	0.883579824782	0.418692126612
chr7	173753	0.883579824782	0.41880257409
chr7	181805	0.895049674526	0.425917158839
chr7	182102	0.922971120071	0.426182988592
chr7	182154	0.930502138836	0.42623098309
chr7	182190	0.931662955358	0.426264481167
chr7	182445	1.25884023377	0.426502055221
chr7	182475	1.40654020864	0.426539820428
chr7	182489	1.42407431317	0.426559511991
chr7	183024	1.94755823388	0.427321391749
chr7	186809	1.94755823388	0.434692899664
chr7	186896	1.89766647527	0.43486233723
chr7	186908	1.54476172238	0.434885109228
chr7	187000	1.54476172239	0.435027227306
chr7	194199	2.9526592938	0.446147966946
chr7	197486	2.9526592938	0.455853358044
chr7	197534	2.38253709101	0.455995085691
chr7	197912	1.7161036857	0.456895684711
chr7	197932	1.7161036857	0.456930006785
chr7	204516	3.55432350616	0.468228833451
chr7	206576	3.71071686621	0.475550739874
chr7	206643	13.0256626284	0.475799357904
chr7	206863	13.6549320485	0.478665003682
chr7	207042	15.0092090809	0.481109236519
chr7	207437	15.0092090809	0.487037874106
chr7	207444	8.71781219785	0.487142938569
chr7	207535	8.04881362511	0.48793625948
chr7	207673	6.62393957989	0.48904699576
chr7	207703	6.62393957989	0.489245713947
chr7	207738	3.92992655765	0.489477551832
chr7	207959	3.92992655765	0.490346065602
chr7	208599	3.92992655765	0.492861218599
chr7	208604	3.92869220638	0.492880868231
chr7	209026	3.92869220638	0.494538776342
chr7	212511	7.02067781867	0.508230268682
chr7	212847	7.44526561901	0.510589216429
chr7	214823	7.44526561901	0.525301061292
chr7	214862	3.43264963431	0.525591426651
chr7	215046	3.43264963431	0.526223034184
chr7	216618	3.43264963431	0.531619159409
chr7	216681	2.60983476587	0.531835416336
chr7	216683	1.87615015675	0.531840636005
chr7	216734	1.87615015675	0.531936319663
chr7	218834	1.87615015675	0.535876234993
chr7	218857	1.86587012261	0.535919386446
chr7	218877	1.85522173455	0.535956703849
chr7	218905	1.7602044181	0.536008650057
chr7	218927	1.7602044181	0.536047374554
chr7	219394	1.7602044181	0.536869390018
chr7	219442	1.71668755085	0.53695387983
chr7	219480	1.71668755085	0.537019113957
chr7	220406	1.71668755085	0.538608766629
chr7	220459	1.60111250173	0.538699751069
chr7	220523	1.22449120164	0.538802222269
chr7	220544	1.22449120164	0.538827936584
chr7	223592	2.82842876244	0.542560185767
chr7	223696	3.65056550046	0.542854342358
chr7	223701	6.94102029268	0.542872595186
chr7	226485	6.94102029269	0.562196395681
chr7	226490	6.74880008301	0.562231100782
chr7	226516	6.74880008302	0.562406569584
chr7	226612	5.8013682861	0.563054454392
chr7	226613	4.63210985926	0.56306025576
chr7	226665	4.63210985926	0.563301125473
chr7	229247	4.63210985926	0.57526123313
chr7	229312	4.56631598981	0.575562320271
chr7	229319	4.56631598981	0.575594284483
chr7	229321	4.56631598982	0.575603417114
chr7	229451	4.51075064319	0.576197038193
chr7	229510	4.51075064319	0.576463172481
chr7	230757	4.51075064319	0.582088078533
chr7	230769	3.00871241389	0.582142207541
chr7	230771	2.61553680273	0.582148224966
chr7	230877	2.61553680273	0.582425471867
chr7	231492	2.61553680273	0.584034027
chr7	231526	1.68990935194	0.584122955252
chr7	231543	1.64069234861	0.584151683711
chr7	231601	1.64069234861	0.584246843867
chr7	232365	1.64069234861	0.585500332821
chr7	232410	0.65566221315	0.585574163977
chr7	242585	0.657122385372	0.592245526996
chr7	242752	0.659641133452	0.592355266434
chr7	242908	0.877422502027	0.592458170451
chr7	242921	1.31694717379	0.592469576944
chr7	243730	2.066450826	0.593534987207
chr7	246131	2.43089814871	0.59849653564
chr7	247449	2.43089814872	0.6017004594
chr7	247508	2.35382987873	0.601843882391
chr7	247549	2.35382987873	0.601940389416
chr7	247752	2.35382987873	0.602418216882
chr7	247801	2.27117021277	0.602533554546
chr7	247844	2.27117021277	0.602631214865
chr7	250298	3.77287468072	0.608204666567
chr7	251908	4.47231321393	0.614278994803
chr7	251945	7.52860964028	0.614444470392
chr7	251946	8.50173216729	0.614451999001
chr7	254100	8.5017321673	0.63276473009
chr7	254157	5.17356940447	0.633249328823
chr7	254541	3.52763909676	0.635235979475
chr7	254638	3.52763909676	0.635578160467
chr7	257917	4.12593738916	0.647145289065
chr7	259483	4.12593738916	0.653606507017
chr7	259675	4.00915529726	0.654398686995
chr7	259685	3.84050551259	0.654438778548
chr7	259689	3.63641267537	0.65445414057
chr7	259876	3.63641267538	0.655134149741
chr7	259896	3.63641267538	0.655206877994
chr7	259914	2.40330971797	0.655272333422
chr7	259941	2.36313863775	0.655337222785
chr7	259973	2.34853992444	0.655412843221
chr7	260009	2.31164394246	0.655497390658
chr7	260020	2.31135747774	0.655522818742
chr7	260185	2.31135747775	0.655904192726
chr7	262746	3.21750453254	0.661823579226
chr7	264666	3.21750453254	0.668001187929
chr7	264696	2.34980469399	0.668097713065
chr7	264699	2.34872353988	0.668104762479
chr7	264714	1.52516579738	0.668139993332
chr7	264764	1.51903128213	0.668216251622
chr7	264818	1.51903128213	0.668298279311
chr7	264925	1.49639795895	0.668460815658
chr7	264949	1.4866952214	0.668496729209
chr7	264950	1.18780927236	0.668498215904
chr7	265009	1.18780927236	0.668568296651
chr7	270298	4.89091377296	0.674850619893
chr7	270561	14.5900328124	0.676136930215
chr7	270773	26.3387287132	0.679230017171
chr7	270787	30.0041577849	0.679598759373
chr7	271808	30.0041577849	0.710233004472
chr7	271815	12.7558306647	0.710443033576
chr7	271864	11.8265942051	0.711068069279
chr7	271925	3.12771779429	0.711789491525
chr7	272070	3.11985555831	0.712243010605
chr7	272083	3.11985555831	0.712283568728
chr7	272106	1.33652399599	0.712355325406
chr7	272150	1.33652399599	0.712414132461
chr7	272173	1.33652399599	0.712444872513
chr7	272293	0.879941072693	0.712605255393
chr7	272294	0.847180716109	0.712606135334
chr7	272339	0.792564334451	0.712644258466
chr7	272403	0.648118814963	0.712694982584
chr7	272419	0.323608386451	0.712705352485
chr7	272483	0.281385892283	0.712726063421
chr7	272553	0.263508564096	0.712745760434
chr7	272808	0.263508564096	0.712812955118
chr7	277795	0.501041797416	0.714127072327
chr7	277893	1.15325658113	0.714176174423
chr7	282052	4.87173857508	0.718972568544
chr7	282057	6.07958602311	0.718996927237
chr7	283099	23.2233957892	0.725331855873
chr7	283188	29.9804292402	0.727398738098
chr7	283361	29.9804292402	0.732585352357
chr7	283370	18.3710896044	0.73285517622
chr7	283448	18.3710896044	0.734288121209
chr7	284158	18.3710896045	0.747331594828
chr7	284166	7.08415856594	0.747478563545
chr7	284170	6.00480217854	0.747506900179
chr7	284322	6.00480217855	0.74841963011
chr7	285110	6.00480217856	0.753151414227
chr7	285283	3.361610011	0.754190245004
chr7	285286	2.5645520527	0.754200329834
chr7	285315	1.91937941509	0.754274701843
chr7	285412	1.9193794151	0.754460881647
chr7	285493	1.9193794151	0.754616351379
chr7	285559	1.75180139838	0.754743030421
chr7	285782	1.75180139839	0.755133682133
chr7	296345	3.7175249197	0.773637960304
chr7	296798	3.94456177761	0.775321999092
chr7	297703	4.56438060544	0.778891827501
chr7	297726	5.56414493159	0.778996808255
chr7	302046	5.5641449316	0.803033914359
chr7	302266	5.54904133948	0.804258026244
