Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr9	10468	1.83136369194	0
chr9	35540	1.83136369194	0.0459159504843
chr9	38403	3.90193550938	0.0511591447344
chr9	38984	3.90193550938	0.0534261692653
chr9	40996	1.3679449982	0.0612768635102
chr9	41398	1.24129338884	0.0618267773995
chr9	47351	0.65060071276	0.0692161969432
chr9	49052	0.612890556186	0.0703228687557
chr9	53608	0.606952915857	0.0731151981296
chr9	54109	0.606805151073	0.0734192815405
chr9	55098	0.524304423588	0.0740194118349
chr9	55575	0.524008527795	0.0742695050449
chr9	55658	0.36165254389	0.0743129977528
chr9	58930	0.306303143203	0.0754963248764
chr9	59357	0.291816129367	0.0756271163185
chr9	70341	0.291816129367	0.0788324246835
chr9	70614	0.371819062785	0.0789120904868
chr9	70690	0.371819062785	0.0789403487356
chr9	87460	0.371819062785	0.0851757544185
chr9	87749	0.465619180317	0.0852832101276
chr9	88405	0.465619180317	0.0855886563099
chr9	91759	0.465619180317	0.0871503430407
chr9	92137	0.810662824067	0.0873263470908
chr9	92475	0.810662824067	0.0876003511254
chr9	99414	0.810662824067	0.0932255404616
chr9	99749	3.00152500351	0.0934971125076
chr9	100977	4.28082237658	0.097182985212
chr9	100981	4.28082237658	0.0972001085015
chr9	102671	3.62843390253	0.104434698318
chr9	102701	2.91533630132	0.104543551335
chr9	109890	1.92791611079	0.125501904005
chr9	117351	1.92791611079	0.139886086108
chr9	117366	2.9445187545	0.139915004849
chr9	117370	2.9445187545	0.139926782924
chr9	119725	2.9445187545	0.146861124591
chr9	120150	0.69702837299	0.148112545062
chr9	120531	0.69702837299	0.148378112872
chr9	129726	1.22034199515	0.154787288762
chr9	133393	1.62330772819	0.159262282858
chr9	140970	1.42046857006	0.171562085514
chr9	145441	1.42046857006	0.177913000491
chr9	145672	5.15764206106	0.178241128731
chr9	145698	5.15764206106	0.178375227424
chr9	147835	3.15540379312	0.189397108509
chr9	149252	2.94812897396	0.193868315684
chr9	149923	0.537694800419	0.195846510225
chr9	158700	0.51761690411	0.200565857488
chr9	177577	0.517616904109	0.210336911787
chr9	177906	0.568929273799	0.210507207749
chr9	178430	2.88037228736	0.210805326688
chr9	178439	5.9530921804	0.210831250039
chr9	178520	5.9530921804	0.211313450505
chr9	179062	3.38264763381	0.214540026467
chr9	179094	1.25249367381	0.214648271192
chr9	179327	1.05700872221	0.214940102218
chr9	179619	0.812974551119	0.215248748764
chr9	183313	0.701688738362	0.218251876756
chr9	192484	0.701688738362	0.224687064176
chr9	192572	1.01101735228	0.224748812785
chr9	192573	2.57721297099	0.224749823802
chr9	192650	2.57721297099	0.224948269201
chr9	193868	2.57721297099	0.2280873146
chr9	194034	2.68827941373	0.228515131953
chr9	194095	2.68827941373	0.228679116997
chr9	198363	2.4874160109	0.240152693535
chr9	199555	1.79933520752	0.24311769342
chr9	200032	1.31162227687	0.243975976314
chr9	202644	0.759859839416	0.247401933701
chr9	204874	0.759859839416	0.249096421143
chr9	204997	1.08670916057	0.249189883903
chr9	205251	1.08670916057	0.24946590803
chr9	206254	0.681174535315	0.250555877318
chr9	209324	0.681174535315	0.252647083141
chr9	209358	1.32313756069	0.252670243075
chr9	209402	1.32313756069	0.252728461128
chr9	211724	1.32313756069	0.255800786544
chr9	211761	1.54333644649	0.255849742634
chr9	211872	1.54333644649	0.256021052979
chr9	212188	1.54333644649	0.256508747296
chr9	212332	1.71709630065	0.256730987745
chr9	212420	1.71709630065	0.256882092219
chr9	213090	1.71709630065	0.258032546741
chr9	213148	1.88707822678	0.258132138326
chr9	213290	1.88707822678	0.258400103434
chr9	215916	1.59546650976	0.263355570858
chr9	216706	1.2497582421	0.264615989401
