Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr5	10055	136.478769628	0
chr5	11881	31.8009422224	0.249210233342
chr5	11955	4.86530909247	0.251563503066
chr5	11988	2.80169953582	0.251724058266
chr5	13103	2.73674791097	0.254847953249
chr5	13113	2.41210151935	0.254875320728
chr5	13300	1.88563662743	0.255326383712
chr5	13328	1.35763470073	0.255379181537
chr5	19061	1.35763470073	0.263162501277
chr5	19601	1.37476752561	0.263895624015
chr5	20244	1.37476752561	0.264779599534
chr5	23014	0.725809490687	0.26858770558
chr5	23023	0.712390073734	0.268594237865
chr5	23116	0.711159711134	0.268660490142
chr5	23585	0.588150532778	0.268994024047
chr5	23724	0.578222055509	0.269075776971
chr5	23884	0.468917744386	0.2691682925
chr5	27333	0.200590916949	0.2707855898
chr5	27563	0.16958028805	0.270831725711
chr5	27898	0.16956682887	0.270888535107
chr5	28528	0.160479238597	0.27099536221
chr5	28689	0.15004912995	0.271021199367
chr5	28697	0.127897410977	0.27102239976
chr5	28743	0.0939099939303	0.271028283041
chr5	70902	0.0939099939303	0.274987434475
chr5	72112	0.179493974184	0.275101065568
chr5	72403	0.599589976741	0.275153298314
chr5	72608	2.09206017468	0.275276214259
chr5	72762	2.0924362251	0.275598391526
chr5	72822	2.10233407837	0.2757239377
chr5	72881	2.10233407837	0.27584797541
chr5	76689	2.10233407837	0.283853663581
chr5	76917	4.73170335899	0.284332995751
chr5	76960	5.65642103698	0.284536458995
chr5	76978	5.65642103697	0.284638274574
chr5	86640	3.79981269831	0.339290614633
chr5	86766	3.05460224897	0.339769391033
chr5	87719	3.01159597086	0.342680426976
chr5	88311	2.91812529505	0.344463291791
chr5	93331	2.57172887915	0.359112280772
chr5	93579	0.745162814148	0.359750069534
chr5	100501	0.745162814148	0.364908086534
chr5	100512	0.757111473928	0.364916283325
chr5	100539	0.757111473927	0.364936725335
chr5	103071	0.502183468445	0.366853731587
chr5	103108	0.373550518902	0.366872312375
chr5	103121	0.243465481912	0.366877168532
chr5	111079	0.211458496279	0.368814666837
chr5	111162	0.207155618096	0.368832217892
chr5	119025	0.164332567869	0.370461082517
chr5	123877	0.0367340510625	0.371258424136
chr5	140268	0.0367340510625	0.371860531967
chr5	140531	0.0406959562047	0.371870193023
chr5	140590	0.0406959562047	0.371872594084
chr5	140936	0.0406959562047	0.371886674885
chr5	141580	0.0555810085248	0.371912883081
chr5	141658	0.0555810085248	0.371917218399
chr5	141674	0.0555810085248	0.371918107696
chr5	141863	0.0564276593755	0.371928612506
chr5	141953	0.0645491064899	0.371933690996
chr5	141962	0.111700003596	0.371934271938
chr5	142322	0.111700003595	0.371974483939
chr5	143533	0.111700003595	0.372109752643
chr5	144084	0.115866164597	0.372171299345
chr5	144238	0.11888473137	0.372189142734
chr5	144523	0.126299908701	0.372223024883
chr5	144645	0.126299908701	0.372238433472
chr5	156324	0.126299908701	0.373713490106
chr5	156653	0.236360634309	0.373755042775
chr5	156736	0.35762936201	0.373774660708
chr5	157749	0.35762936201	0.374136939252
chr5	159493	0.35762936201	0.374760644859
chr5	159685	0.467052940433	0.374829309697
chr5	159708	0.467052940433	0.374840051914
chr5	160477	0.467052940433	0.375199215626
chr5	160984	8.65561549396	0.375436011466
chr5	161190	8.65561549396	0.377219068258
chr5	161291	13.0878677325	0.378093285423
chr5	161300	13.0878677325	0.378211076233
chr5	163768	5.71751403854	0.410511933796
chr5	164744	1.10801637047	0.416092227498
chr5	164771	0.925272865901	0.41612214394
chr5	166855	0.416227342238	0.418050412593
chr5	172351	0.416227342237	0.420337998066
chr5	172419	0.620482413956	0.420366301525
chr5	172446	0.620482413956	0.42038305455
chr5	174105	0.620482413956	0.421412434875
chr5	174239	0.90672803195	0.421495579518
chr5	174240	1.18012322815	0.421496486246
chr5	174266	1.18012322815	0.42152716945
chr5	176002	1.00445672376	0.423575863374
chr5	176060	0.895938762249	0.423634121864
chr5	176095	0.848719231731	0.423665479721
chr5	176894	0.74455189739	0.424343606387
chr5	176980	0.374863439051	0.42440763785
chr5	184335	0.374863439051	0.427164758444
chr5	184392	0.622977949934	0.42718612566
chr5	184701	0.622977949933	0.427378625847
chr5	186629	0.622977949933	0.428579727334
chr5	187217	1.31457818016	0.428946038369
chr5	187241	1.35430265034	0.428977588245
chr5	187301	1.35430265034	0.429058846404
chr5	190710	1.09466863308	0.433675664139
chr5	196018	1.09466863308	0.439486165244
chr5	196039	1.5705133525	0.439509153285
chr5	196077	1.5705133525	0.439568832792
chr5	196198	1.5705133525	0.439758864908
chr5	196257	5.06543319208	0.439851525196
chr5	196300	5.06543319208	0.440069338823
chr5	196513	5.06543319208	0.441148276093
chr5	196567	6.51901667987	0.441421809485
chr5	196645	10.6296308888	0.441930292787
chr5	196760	10.6296308888	0.443152700339
chr5	197049	10.6296308888	0.446224663666
chr5	197103	18.397239706	0.446798663734
chr5	197104	39.7009133715	0.446817060973
chr5	197117	39.7009133715	0.447333172847
chr5	197547	11.9679652452	0.464404565597
chr5	197575	10.2099761798	0.464739668624
chr5	197747	2.64129404196	0.466495784527
chr5	198533	1.36016149204	0.468571841644
chr5	198619	0.75328802098	0.468688815532
chr5	202732	0.479431647963	0.471787089162
chr5	202912	0.419473603661	0.471873386859
chr5	202913	0.368463944927	0.471873806332
chr5	202962	0.188048255505	0.471891861066
chr5	208682	0.188048255505	0.472967497087
chr5	208886	0.368012239886	0.473005858931
chr5	208958	0.368012239886	0.473032355813
chr5	209101	0.368012239886	0.473084981563
chr5	209780	0.796047701775	0.473334861874
chr5	209827	0.796047701775	0.473372276116
chr5	212384	0.796047701774	0.475407770089
chr5	212920	0.844019938563	0.475834451657
chr5	213225	0.844019938562	0.476091877739
chr5	213379	0.844019938562	0.476221856809
chr5	213489	1.21960453394	0.476314699002
chr5	213492	1.21960453394	0.476318357816
chr5	215348	0.286657174252	0.478581943831
chr5	217198	0.129356773403	0.479112259603
chr5	227495	0.129356773403	0.480444246299
chr5	227587	0.4141361565	0.480456147122
chr5	227593	0.817713246837	0.480458631939
chr5	227670	0.817713246836	0.480521595859
chr5	227679	0.817713246836	0.480528955278
chr5	227722	1.51681668101	0.480564116948
chr5	227723	1.53701766717	0.480565633765
chr5	227735	1.53701766717	0.480584077977
chr5	228016	0.523458670293	0.481015979941
chr5	228070	0.13844204665	0.481044246709
chr5	233888	0.13844204665	0.481849702537
chr5	234308	0.185907987022	0.481907848196
chr5	234309	0.20248103276	0.481908034104
chr5	234397	0.273769322784	0.481925852435
chr5	234402	0.29817780798	0.481927221282
chr5	234465	0.29817780798	0.481946006484
chr5	235363	0.29817780798	0.482213770155
chr5	235547	0.389589233039	0.482268634872
chr5	235607	0.389589233038	0.482292010226
chr5	236931	0.389589233038	0.482807826371
chr5	237031	0.656042903149	0.482846785294
chr5	237080	0.656042903148	0.482878931396
chr5	239544	0.508384164882	0.48449542111
chr5	239708	0.135441886183	0.484578796113
chr5	244273	0.135441886183	0.485197088323
chr5	244365	0.137529815293	0.485209548977
chr5	244367	0.137589182587	0.485209824036
chr5	244378	0.137589182587	0.485211337517
chr5	250776	0.137589182587	0.486091633107
chr5	250921	0.160805030051	0.486111583539
chr5	251418	0.160805030051	0.486191503639
chr5	257318	0.160805030051	0.487140253316
chr5	257419	3.53178253982	0.487156494624
chr5	257543	5.52283989835	0.487594435659
chr5	257568	5.52283989834	0.487732506656
chr5	257931	0.367757466665	0.48973729754
chr5	263685	0.321367849179	0.491853374003
chr5	264659	0.315104140146	0.492166386288
chr5	264660	0.228133075693	0.492166701392
chr5	264712	0.159846183995	0.492178564312
chr5	271218	0.159846183994	0.493218523585
chr5	271324	0.159860355243	0.493235467281
chr5	271328	0.182707375837	0.493236106722
chr5	271425	0.182707375837	0.493253829337
chr5	276189	0.100078187734	0.494124247276
chr5	276199	0.0731403417146	0.494125248058
chr5	292310	0.0731403417146	0.495303612103
chr5	292518	0.734465879613	0.495318825294
chr5	292676	0.734465879612	0.495434870903
chr5	294088	0.734465879611	0.496471936725
chr5	294128	1.51786395358	0.49650131536
chr5	294202	3.59836611678	0.496613637293
chr5	294240	5.23720043428	0.496750375205
chr5	294271	12.0996108975	0.496912728419
chr5	294276	12.0996108975	0.496973226473
chr5	294397	11.4358469457	0.498437279392
chr5	294398	10.2510246123	0.498448715239
chr5	294515	2.90177654054	0.499648085118
chr5	294604	2.37778670526	0.499906343231
chr5	295721	2.2447135116	0.50256233098
chr5	295944	0.964960040471	0.503062902093
chr5	296049	0.948962965221	0.503164222898
chr5	296172	0.897491457881	0.503280945342
chr5	298800	0.89749145788	0.505639552894
chr5	298924	1.22770267897	0.505750841835
chr5	299014	1.22770267897	0.505861335076
chr5	299251	1.22770267897	0.506152300611
chr5	299358	1.35769858271	0.506283664797
chr5	299436	1.35884166571	0.506389565287
chr5	299542	1.35884166571	0.506533602503
chr5	301442	1.35884166571	0.509115401668
chr5	301687	1.35901398082	0.509448317876
chr5	301692	1.35903282223	0.509455112946
chr5	301698	2.23888159283	0.509463267143
chr5	301886	2.23888159283	0.509884176882
chr5	304038	0.809471313683	0.51470225007
chr5	306031	0.415345130314	0.516315526398
chr5	316730	0.415345130313	0.520759303948
chr5	316810	0.906844910282	0.520792531558
chr5	316957	0.90684491028	0.52092583776
chr5	319150	0.762833606058	0.522914548648
chr5	319156	0.762337504071	0.52291912565
chr5	324807	0.180230848113	0.527227094885
chr5	324970	0.125084167622	0.527256472513
chr5	325020	0.0709235658786	0.527262726722
chr5	336155	0.0709235658785	0.528052460628
chr5	336275	0.193031700016	0.528060971456
chr5	336651	0.193031700015	0.528133551375
chr5	338520	0.193031700015	0.528494327622
chr5	338694	0.30301698367	0.528527915138
chr5	338714	0.787948230419	0.528533975478
chr5	338768	1.36510538521	0.528576524682
chr5	339013	1.36510538521	0.528910975502
chr5	343379	1.36510538521	0.534871025613
chr5	343398	1.40064948835	0.534896962616
chr5	343423	1.40064948835	0.534931978853
chr5	345637	1.19111906754	0.53803301682
chr5	345662	1.1234884198	0.538062794797
chr5	346072	1.00243180387	0.538523425049
chr5	346609	0.269905234519	0.539061730928
chr5	346635	0.234123338448	0.539068748464
chr5	360542	0.0874597629836	0.542324701732
chr5	373161	0.0874597629834	0.543428356481
chr5	373299	0.593272598379	0.543440425928
chr5	373537	0.593272598378	0.543581624806
chr5	379197	0.492115369973	0.546939547713
chr5	389278	0.492115369972	0.551900562758
chr5	389307	0.643192809841	0.551914834104
chr5	389530	0.64319280984	0.5520582661
chr5	393376	0.467673693124	0.554531985647
chr5	398251	0.467673693123	0.556811894901
chr5	398330	0.483660644889	0.556848841123
chr5	398441	0.483660644888	0.556902527454
chr5	402230	0.483660644887	0.558735117638
chr5	402320	4.17181740754	0.558778647096
chr5	402334	6.23196133511	0.558837052539
chr5	402355	20.1780999806	0.558967923727
chr5	402413	39.8495838257	0.560138253526
chr5	402854	39.8495838257	0.577711919993
chr5	403576	6.41416433587	0.606483319516
chr5	404295	2.87783404834	0.611095103673
chr5	404622	2.87659173777	0.612036155407
chr5	404652	1.69198155478	0.612122453159
chr5	404712	0.602478334933	0.612223972052
chr5	405496	0.5764873863	0.612696315067
chr5	405575	0.501060999517	0.61274185757
chr5	412111	0.501060999516	0.616016792263
