Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr8	61773	4.41324697931	0
chr8	81259	8.40226517818	0.0859965306389
chr8	103330	8.40226517818	0.271442925387
chr8	105202	6.52860356643	0.2871719658
chr8	110338	6.52860356643	0.320702873717
chr8	117893	6.52860356643	0.370026473662
chr8	129390	3.47215428514	0.445085828865
chr8	133424	3.47215428514	0.459092499251
chr8	210133	3.47215428514	0.72543798231
chr8	210209	4.73435757539	0.725701866036
chr8	210353	4.73435757539	0.726383613527
chr8	210532	4.73435757539	0.727231063533
chr8	210752	5.25447488155	0.728272622199
chr8	210861	5.25447488155	0.728845359961
chr8	213653	2.00948085317	0.743515853831
chr8	213702	1.83504575804	0.743614318393
chr8	213783	1.6151670879	0.743762957099
chr8	214085	1.35074327692	0.744250737559
chr8	217419	1.08552559902	0.748754115645
chr8	223194	1.08473502224	0.755023025979
chr8	223222	1.07937733009	0.75505339856
chr8	223234	0.904131672309	0.755066351088
chr8	224456	0.857109114951	0.756171199991
chr8	224595	0.856844347931	0.756290338158
chr8	224610	0.856128176439	0.756303190823
chr8	224632	0.612462688212	0.756322025643
chr8	243862	0.612462688212	0.768099683138
chr8	244076	0.666527011895	0.768230750153
chr8	244108	1.19854500708	0.768252079017
chr8	244260	1.19854500708	0.768434257858
chr8	249597	1.19854500708	0.774830892561
chr8	249912	1.37333302453	0.775208434238
chr8	249918	1.47473633507	0.775216674237
chr8	249919	1.82683424223	0.775218148973
chr8	250074	2.08645289734	0.77550130828
chr8	250139	2.08645289734	0.775636927719
chr8	254682	2.01646371929	0.785115683231
chr8	254699	1.79658071018	0.785149963115
chr8	255126	1.7414769548	0.785917103078
chr8	255210	0.914261904045	0.786063387142
chr8	255364	0.771263092047	0.786204183475
chr8	255581	0.683813471271	0.786371547566
chr8	257101	0.430868059691	0.787410944043
chr8	264624	0.430868059691	0.790652364456
chr8	264808	0.587559025512	0.790731644179
chr8	264855	0.735079156885	0.790759259453
chr8	264922	0.735079156885	0.790808509756
chr8	266262	0.735079156885	0.791793515827
chr8	266319	0.866039087206	0.791835415338
chr8	266343	0.866039087206	0.791856200277
chr8	268599	0.866039087205	0.793809984457
chr8	268803	2.61700508857	0.793986656431
chr8	268878	2.61700508857	0.794182931813
chr8	271674	1.64296719816	0.80150007804
chr8	272011	1.5738975849	0.802053757986
chr8	272238	0.380309657274	0.802411032738
chr8	274183	0.342048950648	0.803150735021
chr8	278638	0.342048950648	0.804674563096
chr8	278658	0.755126961778	0.804681404075
chr8	278804	1.27173409575	0.804791652612
chr8	278845	1.27173409575	0.80484379371
chr8	281624	1.27173409575	0.808377942762
chr8	281647	1.30865373236	0.808407192646
chr8	281927	1.30865373236	0.808773615691
chr8	287575	1.30865373236	0.816164891972
chr8	287621	1.34279124879	0.816225090043
chr8	287670	2.18546891255	0.816290886814
chr8	287695	2.18546891255	0.816345523537
chr8	287910	2.18546891254	0.816815399353
chr8	287924	4.14184919513	0.816845995918
chr8	287978	4.14184919513	0.817069655775
chr8	290911	2.69329147425	0.829217699464
chr8	290920	1.9075181257	0.829241939087
chr8	294980	1.9075181257	0.836986462678
chr8	295146	2.32593613838	0.837303110687
chr8	295175	2.71835606901	0.837370562835
chr8	295177	2.718356069	0.837375999547
chr8	295210	3.76078704174	0.837465705297
chr8	295251	3.76651044784	0.837619897566
chr8	295300	3.76651044784	0.837804456578
