Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr8	11739	6.16451020741	0
chr8	23071	6.16451020741	0.0698562296704
chr8	31759	6.16451020741	0.123413494352
chr8	46042	6.16451020741	0.211461193645
chr8	46306	5.2504606075	0.21308862434
chr8	53330	1.35822599964	0.249967859647
chr8	60338	1.34948152751	0.259486307452
chr8	60623	1.33768613562	0.259870909687
chr8	66372	1.15500694257	0.267561267281
chr8	79390	1.15500694257	0.28259714766
chr8	120641	1.15500694257	0.330242339047
chr8	127183	1.15500694257	0.337798394466
chr8	139721	1.15500694257	0.352279871512
chr8	151754	1.29270194803	0.366178070052
chr8	159435	1.53689012348	0.376107313714
chr8	160133	3.06730287143	0.377180063021
chr8	161423	3.06730287143	0.381136883725
chr8	161634	3.06730287143	0.381784084631
chr8	161928	3.06730287143	0.382685871675
chr8	162577	3.06730287143	0.384676551238
chr8	163653	3.06730287143	0.387976969128
chr8	163681	2.05506659035	0.388062853608
chr8	163756	1.967391411	0.388216983603
chr8	163783	1.65573867986	0.388270103171
chr8	163987	1.65573867986	0.388607873861
chr8	164049	1.65573867986	0.38871052966
chr8	164085	0.592752021692	0.388770136252
chr8	164729	0.592752021692	0.389151868554
chr8	175123	0.592752021692	0.395312933068
chr8	175156	0.677718839395	0.395332493884
chr8	175446	0.677718839395	0.395529032348
chr8	194946	0.677718839395	0.408744549716
chr8	195253	0.9118030621	0.4089526094
chr8	195337	0.9118030621	0.409029200857
chr8	198326	0.9118030621	0.411754580209
chr8	198545	0.939832676692	0.41195426508
chr8	198584	0.939900127211	0.411990918554
chr8	198769	0.93990012721	0.412164800078
chr8	202809	0.93990012721	0.415961996592
chr8	202841	11.2087072708	0.415992073396
chr8	202886	11.2087072708	0.416496465223
chr8	203012	14.1536048515	0.417908762339
chr8	203085	14.1536048515	0.418941975493
chr8	203722	14.1536048515	0.427957821784
chr8	204031	4.80778397195	0.432331285683
chr8	204106	4.80778397195	0.432691869481
chr8	204249	4.80778397195	0.433379382589
chr8	204283	0.868103792436	0.433542847244
chr8	204348	0.868103792436	0.43359927399
chr8	205613	0.868103792436	0.434697425288
chr8	207028	0.868103792436	0.435925792154
chr8	207818	0.4396591172	0.43661159415
chr8	215772	0.4396591172	0.440108642768
chr8	215917	0.587735350383	0.44017239334
chr8	216230	0.587735350383	0.440356354505
chr8	216231	0.587921888343	0.44035694224
chr8	216236	0.587951996581	0.44035988185
chr8	216319	0.587951996581	0.440408681866
chr8	216760	0.587951996581	0.440667968696
chr8	216828	0.667217625679	0.440707949432
chr8	216904	0.667217625679	0.440758657971
chr8	216913	0.667217625679	0.44076466293
chr8	217101	0.671463036534	0.440890099844
chr8	217474	0.780771452505	0.441140555556
chr8	217586	0.780771452505	0.441228001959
chr8	218208	0.780771452505	0.441713641802
chr8	218295	0.879030364512	0.441781568919
