Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr15	19795193	0.194643146941	0
chr15	19844653	0.194643146941	0.00962705004771
chr15	19844950	0.238545578808	0.00968485906235
chr15	19845169	0.29868284245	0.00973710054411
chr15	19845313	0.29868284245	0.00978011087342
chr15	19848075	0.29868284245	0.0106050728843
chr15	19848484	0.304072273152	0.0107272341668
chr15	19848495	0.305079140465	0.0107305789618
chr15	19848497	0.305589800079	0.0107311891201
chr15	19848501	0.306247338595	0.0107324114793
chr15	19848595	0.306247338595	0.0107611987291
chr15	19850737	0.306247338595	0.0114171805284
chr15	19850975	0.321409217597	0.011490067395
chr15	19850992	0.321409217597	0.0114955313517
chr15	19851092	0.429856993906	0.0115276722735
chr15	19851250	0.429856993906	0.0115955896785
chr15	19877139	0.429805445208	0.0227241573937
chr15	19877284	0.402542461336	0.0227864791833
chr15	19877611	0.399849739502	0.0229181105681
chr15	19877823	0.398628230659	0.0230028787129
chr15	19878184	0.396596270376	0.0231467835042
chr15	19878390	0.387643847005	0.0232284823359
chr15	19878451	0.353166962706	0.0232521286105
chr15	19879575	0.325035205585	0.0236490882766
chr15	19879655	0.319979647867	0.0236750910931
chr15	19879657	0.318502121889	0.0236757310524
chr15	19897076	0.318502121889	0.0292237195136
chr15	19897213	0.772683817745	0.0292673543043
chr15	19897992	0.772683817745	0.0298692749983
chr15	19904862	0.772683817745	0.0351776128262
chr15	19904894	0.327408766377	0.0352023387083
chr15	19904949	0.161458954518	0.0352203461905
chr15	19905780	0.161458954518	0.0353545185817
chr15	19911224	0.161458954518	0.0362335011301
chr15	19911258	0.14049910443	0.0362389907346
chr15	19911392	0.14049910443	0.0362578176145
chr15	19924260	0.289174414194	0.0380657600904
chr15	19940950	0.740367121616	0.0428920810633
chr15	19941323	0.747431588453	0.0431682379996
chr15	19941537	0.813254436448	0.0433281883595
chr15	19942173	4.98874991072	0.0438454181811
chr15	19942264	5.61928868628	0.044299394423
chr15	19944972	5.61928868628	0.0595164281854
chr15	19945169	0.481974661396	0.0606234280566
chr15	19945557	0.481974661396	0.0608104342253
chr15	19945744	0.481974661396	0.0609005634869
chr15	19946022	0.317700882846	0.0610345524428
chr15	19946068	0.317700882846	0.0610491666834
chr15	19984158	0.645976800004	0.073150393311
chr15	19985987	0.827461928493	0.0743318848782
chr15	19986322	0.85308261654	0.0746090846243
chr15	19986757	1.65502392262	0.0749801755625
chr15	20052378	2.10904977846	0.183584500389
chr15	20204590	2.10904977846	0.504607185268
chr15	20204711	0.905130538617	0.504862380291
chr15	20205229	0.905130538618	0.50533123791
chr15	20233065	1.06316247462	0.530526451583
chr15	20234143	1.27803522853	0.53167254073
chr15	20251903	1.27803522853	0.554370446389
chr15	20252065	1.10225206123	0.554577488096
chr15	20252639	1.10225206123	0.555210180779
chr15	20264137	1.79867674106	0.567883874979
chr15	20272194	1.95191117108	0.582375813482
chr15	20289240	1.95191117108	0.615648091304
chr15	20289377	1.85312412773	0.615915503135
chr15	20289532	1.85312412773	0.616202737375
chr15	20301360	1.88895385148	0.638121489557
chr15	20301361	2.20284026576	0.638123378511
chr15	20303702	3.03768452798	0.643280227573
chr15	20311373	3.03768452798	0.666582305587
chr15	20311477	2.93444801283	0.666898224778
