Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr10	60722	2.08162431247	0
chr10	69485	2.08162431247	0.0182412738502
chr10	71349	2.55241637663	0.0221214215686
chr10	71516	2.55241637663	0.0225476751035
chr10	76478	2.55241637663	0.0352127651644
chr10	76579	0.984001509831	0.0354705592184
chr10	77069	0.984001509831	0.0359527199582
chr10	82036	0.984001509831	0.0408402554576
chr10	82690	0.939400944305	0.041483792445
chr10	85234	0.939400944305	0.0438736284473
chr10	93602	1.07941038238	0.0517345355492
chr10	93815	1.62238876701	0.0519644499607
chr10	96243	1.62238876701	0.055903609887
chr10	96433	1.41214697092	0.0562118637527
chr10	96468	1.41214697092	0.0562612888967
chr10	96594	0.405618129748	0.056439219415
chr10	96950	0.199111292678	0.0565836194692
chr10	97814	0.199111292678	0.0567556516261
chr10	131978	0.200877612245	0.0635580898291
chr10	131992	0.254482973592	0.0635609021157
chr10	157943	0.468845745517	0.0701649897634
chr10	157955	0.475757451889	0.0701706159124
chr10	158201	0.7128660701	0.0702876522455
chr10	167851	0.7128660701	0.077166809822
chr10	168004	0.416669380832	0.0772758783307
chr10	169559	0.403825650788	0.0779237992179
chr10	169602	0.150227971432	0.0779411637209
chr10	170309	0.150227971432	0.0780473748967
chr10	170611	0.150191073382	0.0780927437441
chr10	170952	0.150191073382	0.0781439589001
chr10	171116	0.150191073382	0.0781685902361
chr10	171125	0.104170419894	0.0781699419558
chr10	171542	0.104170419894	0.0782133810209
chr10	229680	0.112769890319	0.0842696408926
chr10	235197	0.120586369984	0.0848917923775
chr10	236451	0.12117470345	0.0850430076855
chr10	236610	0.121175428843	0.0850622744633
chr10	237646	0.124640816034	0.0851878122076
chr10	237749	0.124989200187	0.0852006502117
chr10	237952	0.126731459195	0.0852260230193
chr10	238840	0.13614879996	0.0853385605551
chr10	239135	0.136763213383	0.0853787244511
chr10	244239	0.146157555345	0.0860767638922
chr10	246321	0.146782275957	0.0863810639224
chr10	248284	0.171794158272	0.0866691975301
chr10	248505	0.175262672096	0.0867071640391
chr10	248686	0.231291040142	0.0867388865827
chr10	295539	0.284939491818	0.0975755656865
chr10	296007	0.366062154297	0.0977089173687
chr10	300365	0.382317032367	0.0993042162371
chr10	301187	1.1384793892	0.0996184808377
chr10	312442	1.1384793892	0.112432066363
chr10	312875	0.824773696985	0.112925027939
chr10	312999	0.308385394722	0.113027299877
chr10	313303	0.308385394722	0.113121049037
chr10	318550	0.308385394722	0.114739147203
chr10	318676	0.209676644239	0.114778003763
chr10	319569	0.209676644239	0.114965245006
chr10	363766	0.45265633575	0.124232323652
chr10	363784	0.777571106965	0.124240471466
chr10	364011	0.821624552571	0.124416980107
chr10	364706	1.01910341218	0.124988009171
chr10	389784	1.21862770606	0.150545084542
chr10	389816	1.90231394074	0.150584080628
chr10	394862	1.90231394074	0.160183156773
chr10	395093	1.08924793023	0.160622591294
chr10	395234	0.565196219384	0.160776175252
chr10	395609	0.565196219384	0.160988123834
chr10	395687	0.565196219384	0.161032209139
chr10	395830	0.536344011664	0.161113032198
chr10	396238	0.536344011665	0.161331860555
chr10	396322	0.428791424299	0.161376913452
chr10	397160	0.4287914243	0.161736240666
chr10	397202	0.316211388829	0.161754249906
chr10	397774	0.316211388829	0.16193512282
chr10	400042	0.31621138883	0.16265229025
chr10	400261	0.246910023607	0.162721540544
chr10	400860	0.246910023607	0.162869439648
chr10	415720	0.246910023607	0.166538522599
chr10	415733	0.137553497482	0.166541732429
chr10	416255	0.137553497482	0.166613535355
chr10	416345	0.137553497482	0.16662591517
chr10	416443	0.136904352307	0.166639395412
chr10	416546	0.0871841985274	0.166653496561
chr10	417016	0.0871841985274	0.166694473134
chr10	417447	0.0871841985275	0.166732049524
chr10	417458	0.0586926728857	0.16673300855
chr10	417563	0.0586926728857	0.16673917128
chr10	446143	0.0761274893291	0.168416607872
chr10	446409	0.114584339589	0.168436857784
chr10	446445	0.11590446873	0.16844098282
chr10	446473	0.116147701254	0.168444228145
chr10	446727	0.117820598045	0.168473729661
chr10	446897	0.167634908694	0.168493759163
chr10	446928	0.171000188315	0.168498955845
chr10	446929	0.171757812705	0.168499126845
chr10	446931	0.182510669327	0.168499470361
chr10	462793	0.301780827867	0.171394454598
chr10	462964	0.445884864271	0.171446059119
chr10	463014	0.475638095397	0.171468353362
chr10	463245	3.59756587893	0.171578225763
chr10	463258	15.8000304942	0.171624994119
chr10	463460	29.8114865696	0.174816600279
chr10	463487	32.1860341661	0.175621510416
chr10	464318	32.1860341662	0.202368104808
chr10	464425	22.6470250575	0.205812010464
chr10	464452	22.6470250575	0.206423480141
chr10	464484	5.61754768779	0.207148184942
chr10	464556	5.6175476878	0.207552648376
chr10	464567	1.22246623062	0.2076144414
chr10	464863	1.22246623062	0.207976291405
chr10	464880	1.22246623062	0.207997073331
chr10	464903	0.535289367052	0.208025190054
chr10	465239	0.535289367053	0.208205047281
chr10	466398	0.535289367054	0.208825447658
chr10	466829	0.401092653678	0.209056157375
chr10	467317	0.401092653678	0.20925189059
chr10	476155	0.401092653678	0.212796747463
chr10	476900	0.335521655223	0.21309556149
chr10	476933	0.335521655223	0.213106633705
chr10	499488	0.467026375566	0.220674324638
chr10	499962	0.559852975053	0.22089569514
chr10	499988	0.615835317028	0.220910251318
chr10	499993	0.792429519288	0.220913330494
chr10	500192	0.915904741529	0.221071023969
chr10	504889	0.91590474153	0.22537302854
