Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr9	10468	23.9802979305	0
chr9	38403	16.2173040078	0.669889622689
chr9	39924	8.59047481677	0.694556142085
chr9	41205	1.59126606741	0.705560540325
chr9	41439	1.58803782473	0.705932896585
chr9	42916	1.47327021664	0.708278428452
chr9	43846	1.45769109496	0.709648569754
chr9	43857	1.38196655562	0.709664604356
chr9	43861	1.06490402529	0.709670132222
chr9	45439	0.901890247124	0.711350550774
chr9	53640	0.929318420996	0.718746952691
chr9	53938	0.947101446282	0.71902388958
chr9	60951	1.55805325495	0.725665912023
chr9	60979	3.16481512919	0.725709537514
chr9	61536	3.16481512919	0.727472339541
chr9	61570	2.03568773773	0.727579943255
chr9	61683	1.06321436612	0.72780997597
chr9	61752	1.06321436612	0.727883337761
chr9	62034	1.06321436612	0.728183164212
chr9	62153	0.607459019644	0.728309686722
chr9	62613	0.607459019644	0.728589117871
chr9	70614	0.757897137332	0.733449397487
chr9	72329	1.05596510289	0.734749191078
chr9	76739	1.57519271773	0.739405997181
chr9	81811	4.24269291178	0.747395374646
chr9	82941	9.26239675499	0.752189617636
chr9	83878	9.262396755	0.760868483395
chr9	83889	1.53578001415	0.76097036976
chr9	84074	1.53578001415	0.761254489062
chr9	84215	1.53578001415	0.761471034044
chr9	84794	1.53237445466	0.762360250672
chr9	84826	1.33483857036	0.762409286655
chr9	84870	1.33483857036	0.762468019552
chr9	87749	1.33483857036	0.766311019796
chr9	88010	1.13955278879	0.766659412663
chr9	88405	1.13955278879	0.767109536015
chr9	88671	1.13932274808	0.767412657056
chr9	88734	1.10643005823	0.76748443439
chr9	88892	1.10643005823	0.767659250339
chr9	99969	5.0100373074	0.779915176094
chr9	100019	8.5830591877	0.780165677959
chr9	101506	8.5830591877	0.792928686971
chr9	101561	7.33191298743	0.793400755227
chr9	101746	7.33191298743	0.794757159129
chr9	103233	7.33191298743	0.805659713742
chr9	103240	4.72804576357	0.805711037133
chr9	103484	3.21000086857	0.806864680299
chr9	103562	3.21000086857	0.807115060367
chr9	106159	3.21000086857	0.815451432622
chr9	106202	2.74018259904	0.81558946266
chr9	106215	2.74018259904	0.815625085033
chr9	109443	2.74018259904	0.824470394463
chr9	109448	1.60905463178	0.824484095376
chr9	109545	1.42110646331	0.824640173675
chr9	109588	1.09658229188	0.824701281253
chr9	109858	1.09658229188	0.824997358472
chr9	117312	2.04032943399	0.833171282876
chr9	118861	2.04032943399	0.836331753169
chr9	118897	1.68796282928	0.836405205029
chr9	118932	1.68796282928	0.836464283728
chr9	119725	1.68796282928	0.837802838251
chr9	120391	0.434656354017	0.838927021496
chr9	120649	0.434656354018	0.839039162835
chr9	129731	0.561648490048	0.842986711842
chr9	134874	0.715780244436	0.845875270026
chr9	138634	0.975502653817	0.848566603746
chr9	145936	2.09441888611	0.855689724124
chr9	146872	3.99008230381	0.857650100201
chr9	149018	3.99008230381	0.866212816825
chr9	149252	0.436083222643	0.867146496084
chr9	149290	0.436083222643	0.867163067247
chr9	156134	0.486166119019	0.870147620822
chr9	157741	0.521350955002	0.870928889776
chr9	161673	0.601037346211	0.872978841731
chr9	170380	0.700204373759	0.878212073904
chr9	178430	3.02071306503	0.883848719113
chr9	179327	3.02071306503	0.886558298732
chr9	179370	1.71626950386	0.886688189394
chr9	179619	0.836543536285	0.887115540501
chr9	179873	0.836543536285	0.887328022559
chr9	186430	0.924523403328	0.892813238526
chr9	188798	1.08220833007	0.895002509945
chr9	192218	2.25474141292	0.898703662434
chr9	194034	3.25761607613	0.90279827284
chr9	201929	3.25761607613	0.928517151761
chr9	202003	2.25710301133	0.928758215351
chr9	202068	2.25710301133	0.928904927046
chr9	202308	2.25710301133	0.929446631769
chr9	202369	1.88327102588	0.929584315053
chr9	202376	1.32981167895	0.92959749795
chr9	202398	1.32981167895	0.929626753807
chr9	209230	1.33842338438	0.938712027197
