Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr19	64704	1.55591385925	0
chr19	226468	1.55591385925	0.251690849527
chr19	226775	0.520496151155	0.252168515082
chr19	228358	0.520496151155	0.25299246049
chr19	243500	0.813657674495	0.26087381321
chr19	244420	1.03960076474	0.261622378271
chr19	249874	1.307762677	0.267292360842
chr19	254447	1.307762677	0.273272759564
chr19	254558	1.12612288053	0.273417921221
chr19	254568	0.970770793679	0.27342918245
chr19	254715	0.957070776988	0.273571885756
chr19	254898	0.421477993298	0.273747029708
chr19	254926	0.421477993298	0.273758831092
chr19	257320	0.421477993298	0.274767849408
chr19	257506	0.289986168393	0.274846244315
chr19	257611	0.289986168393	0.274876692863
chr19	259046	0.289986168393	0.275292823014
chr19	259066	0.115345058556	0.275298622738
chr19	259099	0.115345058556	0.275302429125
chr19	265661	0.542121765518	0.276059323399
chr19	265676	0.542685538393	0.276067455225
chr19	266543	2.05981246553	0.276537963587
chr19	267877	2.05981246553	0.279285753416
chr19	268104	1.33480018534	0.279753330846
chr19	268399	1.33480018534	0.2801470969
chr19	270865	1.33480018534	0.283438714158
chr19	271071	0.735757949315	0.283713682996
chr19	271078	0.735757949316	0.283718833301
chr19	271079	0.450352776056	0.283719569059
chr19	271257	0.450352776057	0.283799731853
chr19	275936	0.838378949588	0.285906932493
chr19	276051	0.840831982774	0.286003346072
chr19	277714	1.32319336496	0.287401649659
chr19	277716	1.37386726208	0.287404296046
chr19	279793	1.98064257676	0.290257818349
chr19	279825	1.99951603252	0.290321198912
chr19	281533	3.23572491545	0.293736372295
chr19	288245	12.5120833731	0.315454557928
chr19	290306	12.5120833731	0.34124196176
chr19	290354	8.64578521189	0.341842541762
chr19	290439	8.6457852119	0.342577433505
chr19	294456	22.2985718201	0.377307552701
chr19	295769	22.2985718201	0.406585577501
chr19	295846	4.00771521154	0.408302567531
chr19	295918	4.00771521154	0.408591123026
chr19	297216	4.00771521154	0.41379313737
chr19	297401	1.52916009805	0.414534564685
chr19	297469	1.52916009805	0.414638547571
chr19	301270	1.52916009805	0.420450885104
chr19	301282	0.809034859498	0.420469235025
chr19	301338	0.809034859498	0.420514540977
chr19	302495	0.809034859499	0.42145059431
chr19	302803	0.712519485129	0.421699777046
chr19	303224	0.71251948513	0.42199974775
chr19	309121	0.995433414896	0.426201475154
chr19	310619	0.995433414897	0.427692634409
chr19	310638	0.873785067334	0.427711547644
chr19	310699	0.873785067335	0.427764848533
chr19	310725	0.499377283151	0.427787566945
chr19	310933	0.499377283152	0.42789143742
chr19	315551	0.732896302766	0.430197561713
chr19	317497	0.732896302767	0.431623777918
chr19	317518	0.552858330236	0.431639168741
chr19	317701	0.552858330236	0.431740341815
chr19	319604	0.552858330237	0.432792431218
chr19	319719	0.142663999794	0.432856009926
chr19	319759	0.142663999794	0.432861716486
chr19	323338	0.215997267972	0.433372310941
chr19	323342	0.330212327998	0.43337317493
chr19	326197	0.330212327998	0.434315931126
chr19	326249	0.271683462992	0.434333102167
chr19	326253	0.25618386591	0.434334188901
chr19	326310	0.25618386591	0.434348791382
chr19	336931	0.257385663235	0.437069720221
chr19	337640	0.545575818374	0.437252206657
chr19	340699	0.645701751917	0.438921123085
chr19	340912	0.654845146146	0.439058657558
chr19	341067	0.723923432141	0.439160158556
