Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr17	150561	0.211153046986	0
chr17	155915	0.211153046986	0.00113051341356
chr17	156161	0.212306018553	0.00118245706312
chr17	156186	0.212306018553	0.00118776471358
chr17	156271	0.21247720774	0.00120581072516
chr17	156323	0.25828223863	0.00121685953996
chr17	156365	0.300509969945	0.00122770739399
chr17	156490	0.300509969945	0.00126527114023
chr17	161404	0.300509969945	0.00274197713254
chr17	161916	0.336413179829	0.00289583823715
chr17	161951	0.351695659746	0.00290761269845
chr17	161961	0.351702683073	0.00291112965504
chr17	161962	0.385634109378	0.00291148135773
chr17	162038	0.385634109378	0.00294078955004
chr17	162093	0.385634109378	0.00296199942606
chr17	162187	0.427446719239	0.00299824903234
chr17	162488	0.443449033376	0.00312691049483
chr17	162552	0.625953266897	0.00315529123296
chr17	162789	0.625953266897	0.00330364215722
chr17	166059	0.41619751404	0.00535050933997
chr17	166075	0.337217715987	0.0053571685002
chr17	166109	0.33065042751	0.00536863390254
chr17	169671	0.33065042751	0.00654641072533
chr17	169757	0.416614242734	0.0065748466621
chr17	169790	0.416614242734	0.00658859493211
chr17	169887	0.56407170174	0.00662900651365
chr17	169896	0.747981095606	0.00663408315897
chr17	170187	1.58036458435	0.00685174565779
chr17	170221	1.58036458435	0.00690547805366
chr17	177734	1.07882341091	0.0187787571759
chr17	178042	0.436504304186	0.0191110347864
chr17	180582	0.436504304186	0.0202197557191
chr17	180988	0.436589656571	0.0203969764666
chr17	180989	0.555039389031	0.0203974130562
chr17	181020	0.555039389031	0.0204146192773
chr17	185341	0.555039389031	0.0228129444773
chr17	185432	0.620270065168	0.0228634530617
chr17	185445	0.620270065168	0.0228715165725
chr17	185722	0.620270065168	0.0230433313806
chr17	185932	2.44945420625	0.0231735880943
chr17	185983	2.44945420625	0.0232985102588
chr17	187183	0.228669417725	0.0262378553063
chr17	192715	0.228669417725	0.0275028545251
chr17	192807	0.228675144324	0.0275238921116
chr17	192869	0.228712421388	0.0275380699705
chr17	192911	0.330973403008	0.0275476758922
chr17	193112	0.341383266168	0.0276142015462
chr17	193113	0.403190990074	0.0276145429295
chr17	193130	0.440495095132	0.0276213971763
chr17	193269	0.440495095132	0.0276826259945
chr17	193783	0.440495095132	0.0279090404734
chr17	194102	0.626891923736	0.0280495584088
chr17	194123	0.903270161011	0.0280627231392
chr17	194134	0.969522507185	0.028072659111
chr17	194149	1.01031309735	0.0280872019486
chr17	194225	1.01031309735	0.028163985744
chr17	195729	0.998405694638	0.0296834966424
chr17	198311	0.998405694638	0.0322613801459
chr17	198892	1.20149359084	0.0328414538545
chr17	199086	1.20149359084	0.0330745436111
