Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr15	20000355	0.115825539955	0
chr15	20049792	0.122235018128	0.00572606721877
chr15	20049830	0.290521160914	0.00573071214946
chr15	20061337	0.290521160914	0.0090737391481
chr15	20061666	0.195540448292	0.00916932061004
chr15	20062249	0.195540448292	0.00928332069139
chr15	20100134	0.195540448292	0.0166913705749
chr15	20100441	0.283395414266	0.0167514014926
chr15	20100464	0.283395414266	0.0167579195871
chr15	20111258	0.225483043902	0.0198168896887
chr15	20111275	0.122197701009	0.0198207229004
chr15	20116477	0.120356323809	0.0204563953411
chr15	20116511	0.0752477131622	0.0204604874561
chr15	20116676	0.0749346561117	0.0204729033288
chr15	20117417	0.0749007472259	0.020528429909
chr15	20117490	0.0713125251079	0.0205338976635
chr15	20144804	0.0713125251079	0.0224817279743
chr15	20145218	0.806448113524	0.0225112513597
chr15	20145331	0.806448113524	0.0226023799965
chr15	20151609	0.364524318125	0.0276652612532
chr15	20153631	0.342145865503	0.0284023294245
chr15	20153652	0.20915027208	0.0284095144876
chr15	20154098	0.208901892868	0.028502795509
chr15	20154515	0.208252910097	0.0285899075983
chr15	20154722	0.20653582139	0.0286330159507
chr15	20154821	0.190805897344	0.028653462997
chr15	20167071	0.190805897344	0.0309908352395
chr15	20167088	0.148603250597	0.0309940789397
chr15	20167620	0.148603250597	0.0310731358691
chr15	20167622	0.148567165117	0.0310734330756
chr15	20167658	0.148567165117	0.0310787814935
chr15	20189411	0.324104151075	0.0343105630363
chr15	20192085	0.774993281625	0.0351772175363
chr15	20199901	0.774993281625	0.0412345650254
chr15	20199983	0.590536467907	0.0412981144745
chr15	20200272	0.590536467907	0.0414687795138
chr15	20254702	0.634525159936	0.073611679462
chr15	20258156	0.997458474153	0.0758033293644
chr15	20300929	1.07299063234	0.118467620679
chr15	20409815	1.07299063234	0.235301278673
chr15	20409964	0.593457069385	0.235461154277
chr15	20410279	0.593457069385	0.235648093254
chr15	20439555	1.41621965435	0.253022142417
chr15	20454727	1.41621965435	0.274509027013
chr15	20454834	1.19938932408	0.274660562516
chr15	20454957	1.19938932408	0.274808087403
chr15	20457156	1.19938932408	0.277445544526
chr15	20457318	0.971172650388	0.277639845597
chr15	20457839	0.971172650388	0.278145826548
chr15	20469390	0.972762666055	0.289363841832
chr15	20506009	1.63491413044	0.324985437901
chr15	20506613	1.73154777574	0.325972926035
chr15	20506614	1.82461304471	0.325974657583
chr15	20527739	2.00040104852	0.364519608153
chr15	20528363	3.83536683982	0.365767858407
chr15	20529800	6.748653177	0.371279280556
chr15	20537042	6.748653177	0.420153026864
chr15	20537083	3.61259473001	0.420429721644
chr15	20537428	3.61259473001	0.421676066826
chr15	20562818	3.61259473001	0.513399847021
chr15	20562838	2.36062629652	0.513472098915
chr15	20563267	2.36062629652	0.514484807597
chr15	20592328	2.36062629653	0.5830869684
chr15	20592440	1.5320648569	0.583351358545
chr15	20592535	1.5320648569	0.583496904707
chr15	20622698	1.92310837037	0.629708576985
chr15	20646860	1.92310837037	0.67617472143
chr15	20647278	1.54003167264	0.676978580729
chr15	20649552	0.976436252267	0.680480612753
chr15	20649694	0.901325233862	0.6806192667
chr15	20649816	0.564314506948	0.680729228379
chr15	20653568	0.564314506948	0.682846536409
chr15	20657755	0.564314506948	0.68520932125
chr15	20657854	0.5558518709	0.685265188386
chr15	20658925	0.555851870901	0.685860505739
chr15	20663112	0.486931998615	0.688187857523
chr15	20663138	0.486923790528	0.688200517755
chr15	20663292	0.409388437702	0.688275504019
chr15	20665771	0.409388437703	0.689290377956
chr15	20735269	0.504450319084	0.717742055599
chr15	20771901	1.03255611021	0.736221079688
chr15	20831021	1.07429733828	0.797265796923
chr15	20862089	1.30154744186	0.830642066629
chr15	20873390	1.57116719736	0.845350854269
chr15	20893948	1.57116719736	0.877650909513
chr15	20894319	0.899119127905	0.878233812543
chr15	20894324	0.829723558979	0.878238308139
chr15	20894464	0.829723558979	0.878354469437
chr15	20960238	1.37561494849	0.932928706805
chr15	21056752	1.37561494849	1.06569480794
chr15	21057911	1.0787932872	1.06728914567
chr15	21057912	1.01083486937	1.06729022446
chr15	21059043	1.01083486937	1.0684334787
chr15	21137320	2.0379884329	1.14755859977
chr15	21159775	2.0379884329	1.19332163003
chr15	21160206	1.98511282681	1.19420000304
chr15	21160492	1.98511282681	1.19476774531
chr15	21205029	1.98511282681	1.28317871528
chr15	21205266	1.78999139673	1.28364918702
chr15	21205324	1.78999139673	1.28375300652
chr15	21224116	1.78999139673	1.31739052485
chr15	21224449	1.30167876687	1.31798659198
chr15	21225107	1.30167876687	1.31884309661
chr15	21315936	1.70325386688	1.43707327733
chr15	21336457	1.82548499625	1.47202574993
chr15	21336462	1.89399073749	1.47203487736
chr15	21905709	1.89399073749	2.5501834227
chr15	21905725	1.39696922029	2.55021372655
chr15	21905824	1.39696922029	2.55035202651
chr15	21905879	1.39696922029	2.55042885981
chr15	21905981	1.28403265921	2.55057135067
chr15	21906569	1.28403265921	2.55132636188
chr15	21921639	1.79808139579	2.57067673405
chr15	21938286	1.90592932581	2.60060939505
chr15	21940580	2.37631715676	2.60498159692
chr15	21940587	3.36406728807	2.60499823114
chr15	21953347	3.36406728807	2.64792372974
chr15	21953444	2.67689770343	2.64825004426
chr15	21953552	2.67689770343	2.64853914921
chr15	21968143	3.90541257434	2.68759776361
chr15	21975311	3.90541257434	2.71559176094
chr15	21979145	1.76477774296	2.73056511275
chr15	21985717	1.76477774296	2.74216323207
chr15	22013085	1.76477774296	2.79046166934
chr15	22013266	1.03865557109	2.79078109412
chr15	22015597	0.888614284879	2.79320220025
chr15	22015730	0.888614284879	2.79332038595
chr15	22060748	0.904578264288	2.83332402383
chr15	22106931	0.988794177879	2.87510016181
chr15	22107163	1.22761089476	2.87532956206
chr15	22137369	2.96955965606	2.91241077674
chr15	22166359	5.29260616954	2.99849831117
chr15	22297398	5.29260616954	3.69203613102
chr15	22297841	1.09492251606	3.69438075556
chr15	22297859	1.09492251607	3.69440046416
chr15	22297934	0.868805915395	3.69448258335
chr15	22298023	0.868805915396	3.69455990708
chr15	22317275	1.03479827367	3.71128615856
chr15	22317286	1.09618052488	3.71129754134
chr15	22323354	1.55173658048	3.71794916477
chr15	22330800	3.6489901285	3.72950339535
chr15	22347348	3.15415382209	3.78988688399
chr15	22347389	1.84158153535	3.7900162043
chr15	22347396	1.77921808565	3.79002909537
chr15	22347466	1.77921808565	3.79015364064
chr15	22348614	1.77921808565	3.792196183
chr15	22348912	1.76680124796	3.79272638999
chr15	22348916	1.61852955796	3.79273345719
chr15	22349037	1.61852955796	3.79292929927
chr15	22349229	1.61852955796	3.79324005694
chr15	22349384	1.09855565452	3.79349092902
chr15	22349495	1.09855565452	3.7936128687
chr15	22362820	1.28154615843	3.8082511228
chr15	22379095	1.33407084455	3.82910828653
chr15	22379097	1.47035359027	3.82911095467
chr15	22379116	1.58364249518	3.82913889139
chr15	22379156	1.62132121955	3.82920223709
chr15	22416386	1.62132121955	3.88956402609
chr15	22416424	0.828545679844	3.8896256363
chr15	22416673	0.828545679844	3.88983194417
chr15	22426301	0.748863351827	3.89780918198
chr15	22437363	0.748863351827	3.90609310838
chr15	22437922	0.706622628739	3.90651172299
chr15	22437941	0.614985381876	3.90652514882
chr15	22438041	0.322835725926	3.90658664736
chr15	22438445	0.322835725926	3.90671707299
chr15	22455303	0.576748995054	3.91215943766
chr15	22457521	0.636320832601	3.91343866693
chr15	22469325	0.850623250094	3.92094979804
chr15	22500945	0.850623250094	3.94784650521
chr15	22501371	0.908261511033	3.94820887071
chr15	22501484	0.908261511033	3.94831150426
chr15	22502075	0.908261511033	3.94884828681
chr15	22502563	0.908340598292	3.94929151843
chr15	22502566	0.912948117895	3.94929424345
chr15	22502675	0.912948117895	3.9493937548
chr15	22502730	0.912948117895	3.94944396694
chr15	22502869	0.91528880555	3.94957086673
chr15	22503003	0.919886663255	3.94969351543
chr15	22503210	0.965460658085	3.94988393197
chr15	22503224	1.10597873967	3.94989744842
chr15	22503421	1.10597873967	3.95011532623
chr15	22512623	1.01975046646	3.96029254259
chr15	22519690	1.01975046646	3.96749911914
chr15	22519815	1.70378099137	3.96762658795
chr15	22519855	1.70378099137	3.96769473919
chr15	22536107	1.3620399133	3.99538458786
chr15	22547631	1.10604414431	4.01108073582
chr15	22550814	0.836852418176	4.01460127433
chr15	22587622	0.836852418175	4.04540413814
chr15	22588509	0.957671124262	4.04614642624
chr15	22588898	0.957671124262	4.0465189603
chr15	22588959	0.957671124261	4.04657737824
chr15	22588978	1.13323214105	4.04659557399
chr15	22589100	1.13323214105	4.04673382831
chr15	22649029	1.1288676542	4.1146472973
chr15	22649300	0.826848107429	4.11495322043
chr15	22711460	0.630772067919	4.16635009879
chr15	22751468	0.334877261236	4.19158602768
chr15	22751510	0.281187771427	4.19160009253
chr15	22751591	0.270587727935	4.19162286874
chr15	22762880	0.270587727935	4.1946775336
chr15	22763041	1.87553444686	4.19472109822
chr15	22763118	1.87553444686	4.19486551437
chr15	22766000	1.87553444686	4.20027080465
chr15	22766160	3.0619748823	4.20057089016
chr15	22766684	3.0619748823	4.202175365
chr15	22777387	3.0619748823	4.23494768216
chr15	22777679	5.74369135609	4.23584177883
chr15	22777814	5.74369135609	4.23661717716
chr15	22781222	0.856759281975	4.2561916773
chr15	22796387	0.856759281975	4.26918443182
chr15	22796595	7.65840911158	4.26936263775
chr15	22796674	12.2529080858	4.26996765207
chr15	22796878	12.2529080858	4.27246724532
chr15	22797908	13.5154611441	4.28508774064
chr15	22798398	13.515461144	4.2917103166
chr15	22799907	2.14682313386	4.31210514747
chr15	22799947	0.678321672802	4.3121910204
chr15	22823554	0.678321672802	4.32820416013
chr15	22823646	1.2728356427	4.32826656572
chr15	22823748	1.2728356427	4.32839639496
chr15	22824578	1.2728356427	4.32945284854
chr15	22825092	1.52190461243	4.33010708606
chr15	22825251	1.59984020616	4.33034906889
chr15	22825372	1.7318959861	4.33054264956
chr15	22825460	1.7318959861	4.3306950564
chr15	22830685	0.663024798231	4.33974421293
chr15	22830686	0.549162081649	4.33974487596
chr15	22830846	0.535661284109	4.33983274189
chr15	22830989	0.325414845035	4.33990934145
chr15	22832266	0.293461542553	4.34032489621
chr15	22832337	0.211734040077	4.34034573198
chr15	22832500	0.137085607616	4.34038024463
chr15	22833201	0.109817498821	4.34047634164
chr15	22833519	0.10854419618	4.3405112636
chr15	22833581	0.0770959604515	4.34051799334
chr15	22836959	0.075100690086	4.3407784235
chr15	22837142	0.0670289791824	4.34079216692
chr15	22837411	0.0549503075001	4.34081019772
chr15	22838458	0.0407092204354	4.34086773069
chr15	22880740	0.0407092204354	4.34258899795
chr15	22881543	0.116025131916	4.34262168745
chr15	22881747	1.94291677223	4.34264535658
chr15	22881770	2.22151315817	4.34269004367
chr15	22881776	2.67639937907	4.34270337275
chr15	22881900	16.9458378007	4.34303524627
chr15	22881937	16.9458378007	4.34366224227
chr15	22884910	3.25254852862	4.39404221805
chr15	22885215	1.2532320342	4.39503424535
chr15	22885311	0.958413146831	4.39515455563
chr15	22885444	0.954433251573	4.39528202457
chr15	22885505	0.937274989347	4.395340245
chr15	22889355	0.675217430889	4.39894875371
chr15	22904502	0.675217430889	4.40917627214
