Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr15	19794821	0.254601112723	0
chr15	19814441	0.254601112723	0.00499527383162
chr15	19814565	0.250777343566	0.0050268443696
chr15	19814714	0.250777343566	0.00506421019379
chr15	19814789	0.201289228966	0.00508301849456
chr15	19814796	0.189578003558	0.00508442751916
chr15	19814855	0.189578003558	0.00509561262137
chr15	19826645	0.189578003558	0.00733073728332
chr15	19826682	0.163185811562	0.00733775166945
chr15	19826726	0.161750744409	0.00734493184516
chr15	19826761	0.161750744409	0.00735059312122
chr15	19826804	0.160393324049	0.00735754840323
chr15	19826869	0.160393324049	0.00736797396929
chr15	19827092	0.160393324049	0.00740374168055
chr15	19827209	0.155941240443	0.00742250769947
chr15	19827353	0.155941240443	0.00744496323809
chr15	19827378	0.155941240444	0.0074488617691
chr15	19827400	0.152596883835	0.00745229247639
chr15	19827771	0.152596883835	0.00750890592029
chr15	19842893	0.320127727163	0.00981647599765
chr15	19842896	0.321112150246	0.00981743638083
chr15	19854713	0.321112150247	0.0136120186603
chr15	19854808	0.320591492724	0.0136425243146
chr15	19854853	0.320303307273	0.0136569509317
chr15	19854894	0.162553943868	0.0136700833673
chr15	19855041	0.162553943868	0.0136939787971
chr15	19866419	0.195268906641	0.0155435175704
chr15	19878142	0.190494543269	0.017832654963
chr15	19891212	0.190693615739	0.0203224186435
chr15	19891321	0.192333300399	0.0203432042476
chr15	19891328	0.194060457742	0.0203445505807
chr15	19893427	0.222017054027	0.0207518834815
chr15	19893588	0.235499452733	0.0207876282272
chr15	19894628	0.235499452733	0.021032547658
chr15	19894881	0.260570726416	0.0210921290196
chr15	19894989	0.260570726416	0.021120270658
chr15	19896963	0.260570726416	0.021634637272
chr15	19897076	0.275153217506	0.0216640817641
chr15	19897152	0.275153217506	0.0216849934086
chr15	19897457	0.275153217506	0.0217689151399
chr15	19897518	0.277680291083	0.0217856994862
chr15	19897591	0.278316471298	0.0218059701475
chr15	19897738	0.281152755933	0.0218468826687
chr15	19897778	0.281152755933	0.021858128779
chr15	19897833	0.281152755933	0.0218735921805
chr15	19897876	0.304710968249	0.0218856817491
chr15	19897992	0.353965189873	0.0219210282214
chr15	19898028	0.353965189872	0.0219337709682
chr15	19901177	0.353965189872	0.0230484073511
chr15	19901367	0.837568287491	0.0231156607372
chr15	19901613	0.837568287491	0.0233217025359
chr15	19904628	0.719173747519	0.0258469709227
chr15	19904642	0.51947792422	0.0258570393552
chr15	19904894	0.285106849499	0.0259879477921
chr15	19917422	0.267573756899	0.0295597664026
chr15	19941613	0.267573756899	0.0360326431557
chr15	19941661	0.295691606633	0.0360454866961
chr15	19941721	0.892531824827	0.0360632281925
chr15	19941737	1.71189603987	0.0360775087017
chr15	19941931	1.74756375979	0.0364096165334
chr15	19942013	1.7856753976	0.0365529167617
chr15	19942030	1.7856753976	0.0365832732434
chr15	19942032	1.78586058163	0.0365868445942
chr15	19942040	1.820417899	0.0366011314789
chr15	19942143	1.820417899	0.0367886345225
chr15	19946486	0.883911184614	0.0446947094578
chr15	19946841	0.871697488673	0.0450084979284
chr15	19947248	0.778929995754	0.0453632788063
chr15	19947294	0.743062623927	0.0453991095861
chr15	19947541	0.741501032973	0.0455826460542
chr15	19948333	0.639249051116	0.0461699148723
chr15	19951121	0.386625380826	0.0479521412268
chr15	19951412	0.291911274381	0.0480646492126
chr15	19951419	0.28898429306	0.0480666925916
chr15	19951443	0.28888349568	0.0480736282146
chr15	19951451	0.281662439635	0.0480759392826
chr15	19951499	0.27572253253	0.0480894590797
chr15	19962367	0.223211380246	0.0510860115632
chr15	19962369	0.19894917233	0.051086457986
chr15	19969403	0.154101707662	0.0524858664641
chr15	19984053	0.154101707662	0.0547434564814
chr15	19984158	0.787079164548	0.0547596371607
chr15	19985246	0.878443155803	0.0556159792917
chr15	19985250	0.878443155803	0.0556194930643
chr15	19987438	0.878443155803	0.0575415266892
chr15	19987697	1.08341213813	0.0577690434666
chr15	19987753	1.08341213813	0.0578297145463
chr15	19990526	0.873828045052	0.0608340164053
chr15	20004093	0.873828045052	0.0726892414926
chr15	20004963	1.15140078406	0.0734494718918
chr15	20005423	1.15140078406	0.0739791162524
chr15	20005610	1.15140078406	0.0741944281991
chr15	20006867	1.29619182835	0.0756417389846
chr15	20007224	1.29619182835	0.0761044794673
chr15	20051511	1.29619182835	0.133508926969
chr15	20052903	1.60143155263	0.135313225994
chr15	20053150	1.60143155263	0.135708779588
chr15	20153472	1.9574882684	0.296367595811
chr15	20185091	1.9574882684	0.358261417369
chr15	20185736	1.09203802284	0.359523997302
chr15	20185743	1.09203802284	0.359531641569
chr15	20185768	1.05205806548	0.359558942519
chr15	20185771	1.03558041768	0.359562098693
chr15	20185789	0.924793232625	0.359580739141
chr15	20186546	0.924793232625	0.360280807618
chr15	20201881	1.2408648237	0.37446251184
chr15	20201882	1.93024663803	0.374463752705
chr15	20206455	1.93024663803	0.383290770581
chr15	20206577	1.43599495226	0.383526260671
chr15	20206617	1.37447536695	0.383583700469
chr15	20206834	1.37447536695	0.383881961623
chr15	20214935	1.37447536695	0.395016586571
chr15	20215209	1.07626692889	0.395393192822
chr15	20215399	1.07626692889	0.395597683538
chr15	20221182	1.02393113279	0.401821735188
chr15	20221183	0.98132372966	0.401822759119
chr15	20232503	0.98132372966	0.412931343739
chr15	20233065	1.58541142273	0.413482847675
chr15	20233123	1.58541142273	0.413574801537
chr15	20237969	1.44852987163	0.421257705292
chr15	20238606	1.43864815502	0.42218041882
chr15	20238627	1.28634787799	0.422210630431
chr15	20238637	0.956564342576	0.42222349391
chr15	20248977	0.583477222677	0.432114369212
chr15	20252639	0.538375909569	0.434251062802
chr15	20252640	0.460619332292	0.434251601178
chr15	20264043	0.460619332292	0.439504043424
chr15	20264137	0.65669651818	0.439547341641
chr15	20264404	0.65669651818	0.439722679611
chr15	20272406	0.65669651818	0.44497756515
chr15	20272461	1.0999550636	0.445013683458
chr15	20272679	1.0999550636	0.445253473662
chr15	20272830	1.0999550636	0.445419566877
chr15	20273011	1.22636840967	0.445618658743
chr15	20273012	1.25766498862	0.445619885112
chr15	20273018	2.12719304797	0.445627431102
chr15	20273341	2.12719304797	0.446314514456
chr15	20273476	2.61015337963	0.446601685518
chr15	20273538	2.61015337963	0.446763515027
chr15	20281126	2.40333042647	0.466569358872
chr15	20289409	2.06159474638	0.486476144794
chr15	20290877	1.10384765911	0.489502565882
chr15	20311674	1.03181467736	0.512459285649
chr15	20311848	0.680013365565	0.512638821403
chr15	20322170	0.680013365565	0.519657919362
chr15	20322486	2.46526270775	0.519872803585
chr15	20322739	2.46526270775	0.52049651505
chr15	20331830	1.07733094304	0.542908218327
chr15	20345020	1.07733094304	0.557118213465
chr15	20345051	1.26683425413	0.557151610725
chr15	20345052	3.13383838276	0.557152877559
chr15	20345173	3.13383838276	0.557532072003
chr15	20360714	3.13383838276	0.60623505431
chr15	20360863	4.78532864566	0.606701996229
chr15	20360911	4.78532864566	0.606931692004
chr15	20363860	4.78532864566	0.62104362618
chr15	20363889	6.9160411194	0.62118240071
chr15	20363957	6.9160411194	0.621652691506
chr15	20368090	6.48565263968	0.650236689453
chr15	20368690	5.85386059898	0.654128081037
chr15	20369090	5.66612370693	0.656469625276
chr15	20369107	5.07998905649	0.656565949379
chr15	20380358	5.07998905649	0.713720906254
chr15	20380446	6.06958265492	0.714167945291
chr15	20380545	6.06958265492	0.714768833974
chr15	20380652	6.06958265492	0.715418279318
chr15	20380738	7.84119671202	0.715940263426
chr15	20381037	7.84119671202	0.718284781243
chr15	20383317	4.00577434471	0.736162709746
chr15	20387758	3.15203000211	0.753952353611
chr15	20390514	2.52813628152	0.762639348297
chr15	20403555	2.52813628152	0.795608773544
chr15	20403559	3.27913983894	0.79561888609
chr15	20403591	3.27913983894	0.795723818564
chr15	20405438	3.27913983894	0.801780389847
chr15	20405580	3.88198094931	0.802246027704
chr15	20405660	4.11651748277	0.80255658618
chr15	20405714	4.11651748277	0.802778878124
chr15	20407510	4.15898671798	0.810172143523
chr15	20408703	4.68623607788	0.815133814678
chr15	20411490	4.68623607788	0.828194354627
chr15	20411495	2.81904034613	0.828217785807
chr15	20411668	2.39549359579	0.828705479787
chr15	20411714	1.93011148805	0.828815672492
chr15	20412255	1.84022036416	0.829859862807
chr15	20412635	1.75221177892	0.830559146546
chr15	20412637	1.75221177892	0.830562650969
