Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr3	18518	0.87108048213	0
chr3	26034	0.87108048213	0.00654704090369
chr3	26115	0.839274276259	0.00661759842274
chr3	26126	0.698170988168	0.00662683043978
chr3	26143	0.654160740852	0.00663869934658
chr3	26404	0.654160740852	0.00680943529994
chr3	38720	0.654160740852	0.0148660789843
chr3	38991	0.9015432465	0.015043356545
chr3	39036	0.9015432465	0.0150839259911
chr3	39122	2.05061218377	0.0151614587103
chr3	39282	2.05766068363	0.0154895566597
chr3	39343	8.29360965344	0.0156150739614
chr3	39490	51.6606489925	0.0168342345805
chr3	39502	51.6606489925	0.0174541623684
chr3	39514	51.6606489925	0.0180740901563
chr3	39525	51.6710084843	0.0186423572952
chr3	39532	51.6710084843	0.0190040543546
chr3	39570	51.6710084843	0.020967552677
chr3	39667	51.6710084843	0.0259796405
chr3	39694	51.6710084843	0.0273747577291
chr3	39701	23.5300962398	0.0277364547885
chr3	39702	10.5132720146	0.0277599848847
chr3	39922	9.51658784055	0.0300729047279
chr3	40138	6.53796030216	0.0321284877015
chr3	40337	1.43664173015	0.0334295418016
chr3	40553	1.43664173015	0.0337398564153
chr3	57970	1.43664173015	0.0587618454294
chr3	58390	1.23769956733	0.059365234956
chr3	58484	1.20681406457	0.0594815787154
chr3	58489	1.20681406457	0.0594876127857
chr3	58650	1.09166603616	0.0596819098501
chr3	58665	0.924062823398	0.0596982848406
chr3	58854	0.924062823398	0.0598729327143
chr3	59237	0.924062823398	0.0602268487756
chr3	59494	0.923990743845	0.0604643329212
chr3	59508	0.920691375542	0.0604772687916
chr3	60260	0.920691375542	0.0611696287061
chr3	69036	0.920691375542	0.0692496162178
chr3	69299	0.584414673594	0.0694917580496
chr3	69790	0.584414673594	0.0697787056543
chr3	91253	0.467534855574	0.0823219977937
chr3	98960	0.467534855574	0.0859252889256
chr3	99043	0.473761225769	0.0859640943186
chr3	99187	0.473761225769	0.0860323159351
chr3	103300	0.473761225769	0.0879808958567
chr3	103399	0.780884950975	0.088027798218
chr3	103434	0.780884950975	0.0880551291913
chr3	105679	0.780884950975	0.0898082159063
chr3	105836	1.34994211983	0.0899308148436
chr3	106004	1.34994211983	0.0901576051197
chr3	106092	1.34994211983	0.0902764000262
chr3	106521	1.83277106488	0.0908555251957
chr3	107041	1.83277106487	0.0918085661494
chr3	107232	1.83277106487	0.0921586254228
chr3	107413	2.00927613648	0.0924903569855
chr3	107414	2.05874625833	0.0924923662617
chr3	107495	2.05874625833	0.0926591247086
chr3	110455	0.868845439401	0.0987530136332
chr3	114549	0.7918395986	0.102310066862
chr3	122229	0.326822866818	0.108391394979
chr3	132229	0.326822866818	0.111659623648
chr3	132779	0.387682138861	0.111839376224
chr3	132805	0.387682138861	0.11184945596
chr3	134107	0.387682138861	0.112354218105
chr3	134264	0.625317183827	0.112415084201
chr3	134934	0.625317183826	0.112834046714
chr3	136585	0.625317183826	0.113866445384
chr3	136740	0.656700481129	0.113963369548
chr3	136841	0.77114626996	0.114029696296
chr3	137083	0.77114626996	0.114216313694
chr3	137843	0.77114626996	0.114802384859
chr3	138266	0.806697706932	0.115128579731
chr3	138269	0.806697706932	0.115130999824
chr3	147594	0.806697706932	0.122653455941
chr3	147631	0.861057192381	0.122683303756
chr3	147793	0.86105719238	0.122822795022
chr3	148179	0.86105719238	0.123155163098
chr3	148346	1.01045621041	0.123298959649
chr3	148516	1.01045621041	0.123470737205
chr3	148606	1.01045621041	0.123561678264
chr3	148727	1.35036679374	0.123683943465
chr3	148890	1.35036679374	0.123904053252
chr3	160146	1.35036679374	0.139103781883
chr3	160314	3.74454076612	0.139330643504
chr3	160350	3.74454076612	0.139465446972
chr3	164320	3.01653143892	0.154331273813
chr3	164379	2.03325638454	0.154509249168
chr3	164433	1.30945808683	0.154619045013
chr3	165091	0.677568170994	0.155480668434
chr3	171817	0.677568170994	0.160037991952
chr3	172248	1.0790569406	0.160330023834
