Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr15	19794860	0.0981325309727	0
chr15	19845367	0.0981325309727	0.00495637974184
chr15	19845608	0.117445324753	0.0049800296818
chr15	19845654	0.118032573982	0.00498543216674
chr15	19845718	0.118032573982	0.00499298625148
chr15	19846023	0.118032573982	0.00502898618654
chr15	19847164	0.151134335238	0.00516366135345
chr15	19847301	0.153165895551	0.00518436675738
chr15	19847429	0.214425576771	0.00520397199201
chr15	19847684	0.214425576771	0.00525865051409
chr15	19891423	0.214425576771	0.0146374108165
chr15	19892045	0.256947031702	0.0147707835252
chr15	19892067	0.283685700052	0.0147764363599
chr15	19892230	0.283685700052	0.014822677129
chr15	19892247	0.300120218701	0.0148274997859
chr15	19892372	0.300120218701	0.0148650148133
chr15	19894403	0.300120218701	0.0154745589774
chr15	19895188	0.568309389006	0.0157101533491
chr15	19895211	0.568309389006	0.0157232244651
chr15	19895570	0.568309389005	0.0159272475357
chr15	19895795	1.00399639543	0.0160551171483
chr15	19896054	1.00399639543	0.0163151522147
chr15	19904839	0.968339633729	0.0251352605485
chr15	19904894	0.606261667513	0.0251885192284
chr15	19904949	0.151965503245	0.0252218636201
chr15	19923906	0.151965503245	0.0281026736651
chr15	19924260	0.230223573947	0.0281564694533
chr15	19924412	0.230223573947	0.0281914634365
chr15	19924444	0.245250242137	0.0281988305909
chr15	19924998	0.245250242137	0.028334699225
chr15	19939548	0.245250242137	0.0319030902481
chr15	19940950	0.642496226341	0.0322469310876
chr15	19941034	0.642496226341	0.0323009007706
chr15	19948238	0.481403002173	0.0369294435852
chr15	19948333	0.409881712967	0.0369751768704
chr15	19948373	0.409270277599	0.0369915721389
chr15	19948378	0.195166635347	0.0369936184903
chr15	19948523	0.191666389208	0.0370219176524
chr15	19983734	0.191666389208	0.0437706828828
chr15	19983929	0.289383753299	0.0438080578287
chr15	19983936	0.289383753299	0.043810083515
chr15	19984053	0.289383753299	0.0438439414141
chr15	19984158	0.366363731353	0.0438743267082
chr15	19985246	1.05001840181	0.0442729304479
chr15	19985554	1.05001840181	0.0445963361157
chr15	19986014	1.0500184018	0.0450793445805
chr15	19986015	1.16365448183	0.0450803945989
chr15	19986375	1.24473568947	0.0454993102124
chr15	19986400	1.53872738395	0.0455304286046
chr15	19986487	1.53872738395	0.045664297887
chr15	19995019	1.21204560787	0.0587927199269
chr15	19997188	0.784180796055	0.0614216468503
chr15	20127242	0.76958348035	0.163407496101
chr15	20127244	0.63561229818	0.163409035267
chr15	20204711	0.540734507771	0.212648013171
chr15	20234007	0.54073450777	0.22848937131
chr15	20234302	1.03813871234	0.22864888799
chr15	20234424	1.03813871234	0.228775540913
chr15	20245683	1.03813871234	0.240463944675
chr15	20246434	1.14396039797	0.241243586848
chr15	20246468	1.14396039797	0.241282481502
chr15	20262426	1.14396039797	0.259537801532
chr15	20262654	1.31138556172	0.259798624503
chr15	20264043	1.31138556172	0.261620139048
chr15	20272406	1.31138556172	0.272587256501
chr15	20272461	1.54098613298	0.272659382707
chr15	20272640	1.54098613298	0.272935219225
chr15	20272695	1.74202048906	0.273019973462
chr15	20273011	1.74202048906	0.273570451937
chr15	20282618	1.74202048906	0.290306042775
chr15	20282682	1.85508524168	0.290417532086
chr15	20282691	2.2733127494	0.290434227854
chr15	20282948	2.2733127494	0.29101846923
chr15	20298901	2.2733127494	0.327284627521
chr15	20300283	2.27752758568	0.330426345741
