Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr8	11773	5.01861761934	0
chr8	46197	5.01861761934	0.172760892928
chr8	46228	3.7642670574	0.172916470074
chr8	52625	2.22653489431	0.196996486441
chr8	52636	2.22653489431	0.197020978325
chr8	53285	2.22653489431	0.198465999471
chr8	53330	2.03126685312	0.198566193541
chr8	55202	2.03126685312	0.20236872509
chr8	66751	2.03126685312	0.225827825977
chr8	67892	1.17045906128	0.228145501456
chr8	67893	1.01883236771	0.228146671915
chr8	79390	1.01883236771	0.239860187647
chr8	152554	2.14226674016	0.314402038998
chr8	159665	2.19139460156	0.329635697787
chr8	159668	2.45448778877	0.329642271971
chr8	160007	3.37239735636	0.330474343331
chr8	160133	7.35180519212	0.330899265398
chr8	163386	7.35180519212	0.354814687688
chr8	163418	5.88293866175	0.355049945454
chr8	163419	5.88293866175	0.355055828393
chr8	163469	5.88293866175	0.355349975326
chr8	163552	1.7867903331	0.355838259235
chr8	163653	1.7867903331	0.356018725059
chr8	164049	1.7867903331	0.356726294031
chr8	164085	1.05768926662	0.356790618483
chr8	164309	1.05768926662	0.357027540878
chr8	166619	1.05768926662	0.359470803084
chr8	166850	0.998070084531	0.359715129305
chr8	167419	0.998070084531	0.360283031183
chr8	191225	1.62187824248	0.384043087615
chr8	202841	1.90935581565	0.40288282528
chr8	202844	3.07509592601	0.402888553347
chr8	202967	3.186963669	0.403266790146
chr8	203065	3.35252627438	0.403579112586
chr8	203220	3.36541398705	0.404098754158
chr8	203230	3.39470688446	0.404132408298
chr8	204348	3.39470688446	0.407927690595
chr8	204373	2.11598499224	0.408012558267
chr8	204551	0.610914318751	0.408389203596
chr8	204632	0.610914318751	0.408438687656
chr8	207101	0.610914318751	0.409947035109
chr8	207161	0.509491892743	0.409983689968
chr8	207206	0.509491892743	0.410006617103
chr8	214855	0.710450665939	0.41390372059
chr8	219082	1.43103370267	0.416906795555
chr8	219264	1.56394870654	0.417167243689
chr8	219387	2.00608108687	0.41735960938
chr8	219614	2.20895090032	0.417814989787
chr8	222097	2.20895090032	0.423299814872
chr8	222238	0.302993446441	0.423611276949
chr8	222645	0.284843049569	0.423734595282
chr8	222951	0.284843049569	0.423821757255
chr8	229995	0.650339959808	0.425828191696
chr8	230008	0.712156074954	0.425836646116
chr8	230018	0.768956540246	0.425843767677
chr8	231936	0.82143318579	0.427318626321
chr8	232068	1.17328965669	0.427427055501
chr8	232084	1.6774826898	0.427445828136
chr8	238025	2.5952842275	0.437411752796
chr8	240562	3.85235555849	0.443995988881
chr8	240959	3.8523555585	0.445525374038
chr8	241017	1.73874039174	0.44574881066
chr8	241112	1.73874039174	0.445913990997
chr8	245146	1.79252788881	0.452928069738
chr8	245175	2.16155237436	0.452980053046
chr8	245210	2.50109990913	0.45305570738
chr8	245251	3.36902731349	0.453158252476
chr8	245332	4.22213059141	0.453431143688
chr8	245646	7.77945334192	0.454756892694
chr8	248426	10.6169067731	0.476383772984
chr8	248495	12.7373196254	0.477116339552
chr8	251031	12.7373196254	0.509418182122
chr8	251112	2.59482679192	0.510449905011
chr8	251172	1.84320179155	0.510605594619
chr8	251565	1.84320179155	0.511329972923
chr8	260198	1.84320179155	0.52724233399
chr8	260273	1.3177780825	0.527380574124
chr8	260282	1.09965094785	0.527392434127
chr8	260290	0.580130105747	0.527401231334
chr8	260513	0.580130105748	0.527530600348
chr8	269987	2.16845599877	0.53302675297
chr8	270067	2.33382207276	0.53320022945
chr8	275907	2.33382207276	0.546829750354
chr8	276100	1.48963907846	0.547280178015
chr8	276102	1.44396575103	0.547283157293
chr8	276240	1.44396575103	0.547482424566
chr8	280178	1.46013818301	0.553168761694
chr8	280185	1.69806864529	0.553178982661
chr8	285664	1.6980686453	0.562482700769
chr8	285732	0.983479344151	0.562598169437
chr8	285847	0.983479344152	0.562711269561
chr8	288476	0.983479344153	0.565296836757
chr8	288493	0.912623167537	0.565313555906
chr8	288892	0.912623167538	0.56567769255
chr8	304851	0.913042627035	0.58024224568
chr8	305096	1.03000285939	0.580465941124
chr8	305389	2.3392223332	0.580767731962
chr8	306475	5.64185178038	0.583308127416
chr8	306780	6.42727888019	0.585028892209
chr8	308517	6.4272788802	0.596193075624
chr8	308539	1.61741425345	0.596334475759
chr8	308617	1.61741425346	0.596460634071
chr8	308619	1.53014713336	0.596463868899
chr8	308659	1.53014713337	0.596525074785
chr8	313139	1.53014713337	0.603380133942
chr8	313165	1.4816194932	0.603419917768
chr8	313172	0.42544720186	0.603430289104
chr8	313545	0.42544720186	0.60358898091
chr8	321487	0.491044097405	0.606967882587
chr8	323054	1.15650963462	0.607737348688
chr8	329193	1.15650963462	0.614837161335
chr8	329470	1.028565984	0.615157514504
chr8	329594	1.028565984	0.615285056686
chr8	329728	1.028565984	0.615422884528
chr8	329822	0.850727881991	0.61551956973
chr8	329949	0.850727881992	0.615627612171
chr8	336031	2.08523787583	0.620801739149
chr8	336049	2.84412462087	0.620839273431
chr8	336199	5.55712463003	0.621265892124
chr8	337380	5.55712463004	0.627828856312
chr8	337461	4.99637800709	0.628278983407
chr8	337926	4.9963780071	0.630602299181
chr8	339432	4.9963780071	0.638126844459
chr8	339667	2.61956925237	0.639300993291
chr8	339701	2.61956925237	0.639390058646
chr8	340824	2.61956925238	0.642331834916
chr8	341314	1.00357678263	0.64361542385
chr8	341348	0.900767921767	0.64364954546
chr8	341391	0.900767921769	0.643688278481
chr8	350136	0.900767921771	0.651565493957
chr8	350353	0.633404577152	0.651760960596
chr8	350386	0.53167745317	0.651781862947
chr8	351545	0.531677453171	0.652398077115
chr8	353935	0.531677453172	0.653668786228
chr8	354121	0.493736314348	0.653767678235
chr8	354124	0.460741252663	0.653769159443
chr8	354285	0.460741252664	0.653843338785
chr8	366819	0.46354336974	0.659618269646
chr8	366899	0.465004908	0.659655353116
chr8	369839	0.693043742656	0.661022467545
chr8	369862	0.942026399902	0.661038407551
chr8	382833	0.942026399904	0.673257431984
chr8	382956	0.716053843635	0.673373301232
chr8	383965	0.716053843637	0.67409579956
chr8	402679	0.716053843639	0.68749603119
chr8	402691	0.677074779271	0.687504623836
chr8	403303	0.651362255591	0.687918993601
chr8	403471	0.651362255593	0.68802842246
chr8	417835	1.01358888951	0.697384589899
chr8	419809	1.17701644447	0.699385414367
chr8	423540	1.23694940134	0.703776862721
chr8	426371	1.27929976839	0.707278666476
chr8	441873	1.27929976839	0.727110371486
chr8	442388	1.27923480427	0.727769210867
chr8	442471	1.27923480427	0.727875387355
chr8	450368	1.30598294949	0.737977504605
chr8	462580	1.30598294949	0.753926168384
chr8	462698	0.755999330015	0.754080274372
chr8	462848	0.755999330017	0.754193674271
chr8	469177	0.809696724088	0.758978394031
chr8	473195	0.80969672409	0.762231755468
chr8	473265	0.498678824129	0.762288434239
chr8	473279	0.488783586279	0.762295415743
chr8	473294	0.311893650165	0.762302747496
chr8	473766	0.311893650166	0.762449961299
chr8	479560	0.726295179753	0.764257073108
chr8	482184	0.843798430317	0.76616287166
chr8	482195	0.994975782211	0.766172153443
chr8	493261	0.994975782214	0.777182555449
chr8	493335	0.867120123839	0.777256183657
chr8	493819	0.867120123841	0.777675869797
chr8	498875	0.867120123844	0.782060029143
chr8	498957	0.706395318953	0.782131132993
chr8	498995	0.706395318955	0.782157976015
chr8	512686	1.52047137104	0.791829234327
chr8	514633	4.9271623884	0.794789592086
chr8	515489	61.6563421101	0.799007243091
chr8	516975	61.6563421101	0.890628567466
chr8	517148	61.6563421101	0.901295114651
chr8	517150	61.6563421103	0.901418427336
chr8	517194	43.5821353739	0.904131306388
chr8	517268	32.702855202	0.907356384406
chr8	517279	32.7028552021	0.907716115813
chr8	517428	32.7028552022	0.912588841238
chr8	517447	8.76477706321	0.913210195487
chr8	517457	2.34946458631	0.913297843258
chr8	517566	2.34946458631	0.913553934898
chr8	517833	2.34946458632	0.914181241942
chr8	517859	0.645790990747	0.914242328022
chr8	517964	0.618094794043	0.914310136076
chr8	518040	0.618094794045	0.91435711128
chr8	529379	0.624965482625	0.92136568815
chr8	529383	0.627835409755	0.921368188012
chr8	529758	0.677957040897	0.92160362629
chr8	529775	0.798760272151	0.92161515156
chr8	532507	0.798810956491	0.923797364623
chr8	540649	1.53547180483	0.930301283431
chr8	540755	1.75219396251	0.930464043442
chr8	541616	2.66858045948	0.931972682444
chr8	542787	7.88119677811	0.935097590162
chr8	543680	7.88119677814	0.942135498885
chr8	543781	3.87691303112	0.94293149976
chr8	543786	3.20372962813	0.942950884325
chr8	543799	1.96807415343	0.94299253281
chr8	543884	1.87057841182	0.943159819113
