Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr8	61773	3.84694948476	0
chr8	96197	3.84694948476	0.132427389063
chr8	96228	3.17123905858	0.132546644497
chr8	102879	3.17123905858	0.153638555476
chr8	103285	3.17123905858	0.154926078534
chr8	103330	2.46593967237	0.155068784291
chr8	105202	2.46593967237	0.159685023358
chr8	116751	2.46593967237	0.188164160634
chr8	117892	1.18355538447	0.1909777978
chr8	117893	0.991653048128	0.190978981356
chr8	129390	0.991653048128	0.20238001645
chr8	195477	0.991653048128	0.267915391442
chr8	198401	1.13469629458	0.270814984954
chr8	201696	1.13750002191	0.274553809245
chr8	202835	1.13750002191	0.27584942177
chr8	203197	1.13750002191	0.276261196778
chr8	204877	1.20186724832	0.278172196815
chr8	204932	2.08377552334	0.278238299513
chr8	205300	2.08377552334	0.279005128906
chr8	210177	2.08377552334	0.289167702133
chr8	210209	3.87864606304	0.28923438295
chr8	210353	3.87864606304	0.289792907983
chr8	210446	3.87864606304	0.290153622067
chr8	210752	6.44492534917	0.291340487762
chr8	210861	6.44492534917	0.292042984625
chr8	213531	4.9907652847	0.309250935308
chr8	213552	1.63353179053	0.309355741379
chr8	213702	1.54963225511	0.309600771147
chr8	213940	1.54625892642	0.309969583624
chr8	214085	0.845063070857	0.310193791168
chr8	217419	0.769963611631	0.313011231447
chr8	224283	0.582609165385	0.318296261677
chr8	224331	0.523943930626	0.318324226917
chr8	224545	0.480295842663	0.318436350918
chr8	240567	0.480295842663	0.326131650909
chr8	240579	0.48054967998	0.326137414459
chr8	240727	0.48054967998	0.326208535812
chr8	240975	0.48054967998	0.326327712132
chr8	241225	0.481138872019	0.326447849552
chr8	241745	0.481138872019	0.326698041766
chr8	242533	0.481138872019	0.327077179197
chr8	243305	0.481190652931	0.327448618406
chr8	243584	0.48120106899	0.327582870598
chr8	243862	0.48122483011	0.327716644496
chr8	244035	0.502097822187	0.327799896391
chr8	244108	1.1628341755	0.327836549532
chr8	244883	1.1628341755	0.328737746018
chr8	250074	1.44698646741	0.334774018223
chr8	250742	1.73246858592	0.335740605183
chr8	254632	1.29468328981	0.342479907983
chr8	254682	1.14628430381	0.342544642147
chr8	255210	0.308362836809	0.343149880259
chr8	263848	0.308362836809	0.345813518444
chr8	264297	0.37941315001	0.345951973358
chr8	264419	0.37941315001	0.345998261762
chr8	264808	0.434497118151	0.346145853477
chr8	264855	0.434497118151	0.346166274842
chr8	265063	0.434497118151	0.346256650242
chr8	265411	0.601824823	0.346407855239
chr8	265471	1.07851657324	0.346443964729
chr8	266093	1.0916290887	0.347114802037
chr8	266231	1.18793110376	0.347265446852
chr8	266236	1.18793110376	0.347271386507
chr8	267101	1.18793110376	0.348298946912
chr8	267474	1.6388749326	0.348742045214
chr8	267586	1.6388749326	0.348925599206
chr8	267902	1.6388749326	0.349443483685
chr8	268005	1.88540842246	0.349612287803
chr8	268050	1.88540842246	0.349697131182
chr8	272238	0.650061390012	0.357593221655
chr8	272372	0.587997257473	0.357680329881
chr8	272613	0.585952291947	0.35782203722
